product_code,source_asset_url,source_path,output_glb_path,conversion_status,validation_status,vertex_count,face_count,native_bounds,normalized_bounds_m,scale_factor,rotation_applied,grounding_applied,center_offset,file_size,error
10385IN-CP,https://techcomm.kohler.com/techcomm/cad/10385IN.obj,data/3d_catalogue/source/10385IN-CP/10385IN.obj,data/3d_catalogue/normalized_glb/10385IN-CP.glb,success,valid,7950,15302,2.751400 x 6.277000 x 1.771600,0.069886 x 0.044999 x 0.159436,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x -0.000000 x 0.000000,279888,
11160T-1-0,https://techcomm.kohler.com/techcomm/cad/11160T-1.obj,data/3d_catalogue/source/11160T-1-0/11160T-1.obj,data/3d_catalogue/normalized_glb/11160T-1-0.glb,success,valid,7234,14400,22.094800 x 17.711300 x 8.241700,0.561208 x 0.209339 x 0.449867,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x -0.104662 x 0.000000,260512,
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195T.obj,data/3d_catalogue/source/11195T-0/11195T.obj,data/3d_catalogue/normalized_glb/11195T-0.glb,success,valid,27790,55003,68.768600 x 31.366700 x 26.098500,1.746722 x 0.662902 x 0.796714,0.0254,X=-90;Y=0;Z=0 degrees,true,0.000003 x -0.330112 x 0.000000,994436,
11479IN-VC1-0,https://techcomm.kohler.com/techcomm/cad/11479IN-VC1.obj,data/3d_catalogue/source/11479IN-VC1-0/11479IN-VC1.obj,data/3d_catalogue/normalized_glb/11479IN-VC1-0.glb,success,valid,6033,12010,22.981000 x 18.261300 x 7.627200,0.583717 x 0.193731 x 0.463837,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x 0.064800 x 0.000000,217412,
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188IN-C1.obj,data/3d_catalogue/source/1188IN-C1-0/1188IN-C1.obj,data/3d_catalogue/normalized_glb/1188IN-C1-0.glb,success,valid,22509,44148,75.000000 x 41.000000 x 25.008700,1.905000 x 0.635221 x 1.041400,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x 0.241365 x 0.000000,800744,
12861IN-ZZ-CP,,,,non_obj_assets,non_obj_assets,,,,,0.0254,,false,,,"Product has linked assets, but none are OBJ files."
13491T-4-RGD,https://techcomm.kohler.com/techcomm/cad/13491T-4.obj,data/3d_catalogue/source/13491T-4-RGD/13491T-4.obj,data/3d_catalogue/normalized_glb/13491T-4-RGD.glb,success,valid,20081,39438,13.587700 x 6.139900 x 5.992200,0.345128 x 0.152202 x 0.155953,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000011 x -0.076101 x 0.000000,715136,
1360IN-H2-0,https://techcomm.kohler.com/techcomm/cad/1360IN-H2.obj,data/3d_catalogue/source/1360IN-H2-0/1360IN-H2.obj,data/3d_catalogue/normalized_glb/1360IN-H2-0.glb,success,valid,32784,63611,74.999800 x 45.000000 x 27.974300,1.904995 x 0.710547 x 1.143000,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x 0.237159 x 0.000000,1157616,
13693-CP,https://techcomm.kohler.com/techcomm/cad/13693.obj,data/3d_catalogue/source/13693-CP/13693.obj,data/3d_catalogue/normalized_glb/13693-CP.glb,success,valid,15028,27290,10.425600 x 10.425600 x 3.703900,0.264810 x 0.094079 x 0.264810,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x 0.047040 x 0.000000,508688,
1381T-S-0,https://techcomm.kohler.com/techcomm/cad/1381T-S.obj,data/3d_catalogue/source/1381T-S-0/1381T-S.obj,data/3d_catalogue/normalized_glb/1381T-S-0.glb,success,valid,14231,27643,15.442600 x 28.260600 x 26.854700,0.392242 x 0.682109 x 0.717819,0.0254,X=-90;Y=0;Z=0 degrees,true,0.003269 x -0.341055 x 0.000000,503396,
1394IN-H2-0,https://techcomm.kohler.com/techcomm/cad/1394IN-H2.obj,data/3d_catalogue/source/1394IN-H2-0/1394IN-H2.obj,data/3d_catalogue/normalized_glb/1394IN-H2-0.glb,success,valid,30436,59100,66.060300 x 66.235800 x 28.028500,1.677932 x 0.711924 x 1.682389,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000004 x 0.258609 x 0.000000,1075356,
14008T-PD-0,https://techcomm.kohler.com/techcomm/cad/14008T-PD.obj,data/3d_catalogue/source/14008T-PD-0/14008T-PD.obj,data/3d_catalogue/normalized_glb/14008T-PD-0.glb,success,valid,10380,20756,21.100200 x 17.232200 x 7.379800,0.535945 x 0.187447 x 0.437698,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x 0.082545 x 0.000000,374536,
14008T-PK-0,https://techcomm.kohler.com/techcomm/cad/14008T-PK.obj,data/3d_catalogue/source/14008T-PK-0/14008T-PK.obj,data/3d_catalogue/normalized_glb/14008T-PK-0.glb,success,valid,10380,20756,21.100200 x 17.232200 x 7.379800,0.535945 x 0.187447 x 0.437698,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x 0.082545 x 0.000000,374536,
14008T-RGD-0,https://techcomm.kohler.com/techcomm/cad/14008T-RGD.obj,data/3d_catalogue/source/14008T-RGD-0/14008T-RGD.obj,data/3d_catalogue/normalized_glb/14008T-RGD-0.glb,success,valid,10380,20756,21.100200 x 17.232200 x 7.379800,0.535945 x 0.187447 x 0.437698,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x 0.082545 x 0.000000,374536,
14031-BU-96,https://techcomm.kohler.com/techcomm/cad/14031-BU.obj,data/3d_catalogue/source/14031-BU-96/14031-BU.obj,data/3d_catalogue/normalized_glb/14031-BU-96.glb,success,valid,2856,5712,30.995400 x 21.870600 x 0.750000,0.787283 x 0.019050 x 0.555513,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x -0.009525 x 0.000000,103688,
1418-V-0,,,,non_obj_assets,non_obj_assets,,,,,0.0254,,false,,,"Product has linked assets, but none are OBJ files."
14402IN-4A-CP,https://techcomm.kohler.com/techcomm/cad/14402IN-4A.obj,data/3d_catalogue/source/14402IN-4A-CP/14402IN-4A.obj,data/3d_catalogue/normalized_glb/14402IN-4A-CP.glb,success,valid,9391,18474,2.240000 x 7.206000 x 7.745000,0.056896 x 0.196723 x 0.183032,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x -0.098361 x 0.000000,335268,
14426-2MB,https://techcomm.kohler.com/techcomm/cad/14426.obj,data/3d_catalogue/source/14426-2MB/14426.obj,data/3d_catalogue/normalized_glb/14426-2MB.glb,success,valid,4294,8300,4.000000 x 8.533000 x 4.000000,0.101600 x 0.101600 x 0.216738,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x -0.000000 x 0.000000,151924,
14426IN-CP,https://techcomm.kohler.com/techcomm/cad/14426IN.obj,data/3d_catalogue/source/14426IN-CP/14426IN.obj,data/3d_catalogue/normalized_glb/14426IN-CP.glb,success,valid,4294,8300,4.000000 x 8.533000 x 4.000000,0.101600 x 0.101600 x 0.216738,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x -0.000000 x 0.000000,151924,
14428T-4-RGD,https://techcomm.kohler.com/techcomm/cad/14428T-4.obj,data/3d_catalogue/source/14428T-4-RGD/14428T-4.obj,data/3d_catalogue/normalized_glb/14428T-4-RGD.glb,success,valid,13049,25680,13.268000 x 9.405100 x 11.370000,0.337007 x 0.288798 x 0.238890,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x -0.144399 x 0.000000,465632,
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847T.obj,data/3d_catalogue/source/15847T-0/15847T.obj,data/3d_catalogue/normalized_glb/15847T-0.glb,success,valid,15575,30933,59.077800 x 27.580600 x 17.668400,1.500576 x 0.448777 x 0.700547,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.455013 x 0.186400 x 0.000000,559000,
15848T-0,https://techcomm.kohler.com/techcomm/cad/15848T.obj,data/3d_catalogue/source/15848T-0/15848T.obj,data/3d_catalogue/normalized_glb/15848T-0.glb,success,valid,15135,30053,66.935900 x 27.579600 x 17.595400,1.700172 x 0.446923 x 0.700522,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.555578 x 0.185252 x 0.000000,543156,
16351IN-CP,,,,missing_asset,missing_obj,,,,,0.0254,,false,,,No product-linked asset in normalized asset catalogue.
16356IN-A-AF,https://techcomm.kohler.com/techcomm/cad/16356IN-A.obj,data/3d_catalogue/source/16356IN-A-AF/16356IN-A.obj,data/3d_catalogue/normalized_glb/16356IN-A-AF.glb,success,valid,12469,23414,3.803400 x 7.996400 x 5.970700,0.096606 x 0.151656 x 0.203109,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 x 0.043829 x 0.000000,431500,
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359IN-A.obj,data/3d_catalogue/source/16359IN-A-CP/16359IN-A.obj,data/3d_catalogue/normalized_glb/16359IN-A-CP.glb,success,valid,13038,23989,8.122800 x 5.093800 x 45.525900,0.206319 x 1.156358 x 0.129383,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.091669 x -0.117392 x 0.000000,445248,
