product_code,source_asset_url,source_path,output_glb_path,conversion_status,validation_status,vertex_count,face_count,native_bounds,normalized_bounds_m,scale_factor,rotation_applied,grounding_applied,center_offset,file_size,error
10385IN-CP,https://techcomm.kohler.com/techcomm/cad/10385IN.obj,data\3d_catalogue_sample\source\10385IN-CP\10385IN.obj,data\3d_catalogue_sample\normalized_glb\10385IN-CP.glb,success,valid,7950,15302,2.751400 × 6.277000 × 1.771600,0.069886 × 0.044999 × 0.159436,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 × -0.000000 × 0.000000,279888,
11160T-1-0,https://techcomm.kohler.com/techcomm/cad/11160T-1.obj,data\3d_catalogue_sample\source\11160T-1-0\11160T-1.obj,data\3d_catalogue_sample\normalized_glb\11160T-1-0.glb,success,valid,7234,14400,22.094800 × 17.711300 × 8.241700,0.561208 × 0.209339 × 0.449867,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 × -0.104662 × 0.000000,260512,
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195T.obj,data\3d_catalogue_sample\source\11195T-0\11195T.obj,data\3d_catalogue_sample\normalized_glb\11195T-0.glb,success,valid,27790,55003,68.768600 × 31.366700 × 26.098500,1.746722 × 0.662902 × 0.796714,0.0254,X=-90;Y=0;Z=0 degrees,true,0.000003 × -0.330112 × 0.000000,994436,
11479IN-VC1-0,https://techcomm.kohler.com/techcomm/cad/11479IN-VC1.obj,data\3d_catalogue_sample\source\11479IN-VC1-0\11479IN-VC1.obj,data\3d_catalogue_sample\normalized_glb\11479IN-VC1-0.glb,success,valid,6033,12010,22.981000 × 18.261300 × 7.627200,0.583717 × 0.193731 × 0.463837,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 × 0.064800 × 0.000000,217412,
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188IN-C1.obj,data\3d_catalogue_sample\source\1188IN-C1-0\1188IN-C1.obj,data\3d_catalogue_sample\normalized_glb\1188IN-C1-0.glb,success,valid,22509,44148,75.000000 × 41.000000 × 25.008700,1.905000 × 0.635221 × 1.041400,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 × 0.241365 × 0.000000,800744,
13491T-4-RGD,https://techcomm.kohler.com/techcomm/cad/13491T-4.obj,data\3d_catalogue_sample\source\13491T-4-RGD\13491T-4.obj,data\3d_catalogue_sample\normalized_glb\13491T-4-RGD.glb,success,valid,20081,39438,13.587700 × 6.139900 × 5.992200,0.345128 × 0.152202 × 0.155953,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000011 × -0.076101 × 0.000000,715136,
1360IN-H2-0,https://techcomm.kohler.com/techcomm/cad/1360IN-H2.obj,data\3d_catalogue_sample\source\1360IN-H2-0\1360IN-H2.obj,data\3d_catalogue_sample\normalized_glb\1360IN-H2-0.glb,success,valid,32784,63611,74.999800 × 45.000000 × 27.974300,1.904995 × 0.710547 × 1.143000,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 × 0.237159 × 0.000000,1157616,
13693-CP,https://techcomm.kohler.com/techcomm/cad/13693.obj,data\3d_catalogue_sample\source\13693-CP\13693.obj,data\3d_catalogue_sample\normalized_glb\13693-CP.glb,success,valid,15028,27290,10.425600 × 10.425600 × 3.703900,0.264810 × 0.094079 × 0.264810,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000000 × 0.047040 × 0.000000,508688,
1381T-S-0,https://techcomm.kohler.com/techcomm/cad/1381T-S.obj,data\3d_catalogue_sample\source\1381T-S-0\1381T-S.obj,data\3d_catalogue_sample\normalized_glb\1381T-S-0.glb,success,valid,14231,27643,15.442600 × 28.260600 × 26.854700,0.392242 × 0.682109 × 0.717819,0.0254,X=-90;Y=0;Z=0 degrees,true,0.003269 × -0.341055 × 0.000000,503396,
1394IN-H2-0,https://techcomm.kohler.com/techcomm/cad/1394IN-H2.obj,data\3d_catalogue_sample\source\1394IN-H2-0\1394IN-H2.obj,data\3d_catalogue_sample\normalized_glb\1394IN-H2-0.glb,success,valid,30436,59100,66.060300 × 66.235800 × 28.028500,1.677932 × 0.711924 × 1.682389,0.0254,X=-90;Y=0;Z=0 degrees,true,-0.000004 × 0.258609 × 0.000000,1075356,
