product_code,product_name,category,subcategory,obj_path,catalogue_dimension_source,catalogue_width_mm,catalogue_depth_mm,catalogue_height_mm,model_extent_x,model_extent_y,model_extent_z,scale_mm_per_native,axis_map,confidence,max_relative_error,recommended_unit,normalization_status,normalized_glb_path,error
10385IN-CP,Complementary™ Wall-mount bath spout,Basin Area,Bathtub Faucets,data\3d_sample\source\10385IN-CP\10385IN.obj,,,,,,,,,,,,,missing_reliable_catalogue_dimensions,,
11160T-1-0,"Odeon™ Odeon semi-recessed basin, 56 cm",Basin Area,Semi Recessed Basin,data\3d_sample\source\11160T-1-0\11160T-1.obj,,,,,,,,,,,,,missing_reliable_catalogue_dimensions,,
11195T-0,Cleo™ 175 cm x 80 cm freestanding bath,Wellness,Freestanding Bathtubs,data\3d_sample\source\11195T-0\11195T.obj,normalized_columns,1750.0,800.0,,68.76859999999999,31.3667,26.0985,25.476207874190514,"x,y,z -> x,y",0.9988794562925908,0.0011217993240328983,inch,analyzed_only_high_confidence,,
11479IN-VC1-0,Forefront™ 58.1 cm rectangular semi-recessed bathroom sink with glazed underside,Basin Area,Semi Recessed Basin,data\3d_sample\source\11479IN-VC1-0\11479IN-VC1.obj,,,,,,,,,,,,,missing_reliable_catalogue_dimensions,,
1188IN-C1-0,sok™ 190.5 cm x 104 cm drop-in whirlpool bath with Effervescence and chromatherapy,Wellness,Drop-in Bathtubs,data\3d_sample\source\1188IN-C1-0\1188IN-C1.obj,normalized_columns,1905.0,1040.0,,75.0,41.0,25.0087,25.382926829268293,"x,y,z -> x,y",0.9993273755004358,0.0006730769230769669,inch,analyzed_only_high_confidence,,
13491T-4-RGD,"Kelston Dual Handle 8"" (20.3 cm) Lavatory Faucet",Basin Area,Widespread Faucets,data\3d_sample\source\13491T-4-RGD\13491T-4.obj,,,,,,,,,,,,,missing_reliable_catalogue_dimensions,,
1360IN-H2-0,Riverbath™ 190.5 cm x 114.3 cm drop-in heated whirlpool bath with chromatherapy,Wellness,Drop-in Bathtubs,data\3d_sample\source\1360IN-H2-0\1360IN-H2.obj,normalized_columns,1905.0,1143.0,,74.9998,45.0,27.9743,25.400033866756978,"x,y,z -> x,y",0.9999986666648888,1.3333368889717386e-06,inch,analyzed_only_high_confidence,,
13693-CP,"Traditional 10"" single-function rainhead, 2.5 gpm",Showering Area,Rainheads,data\3d_sample\source\13693-CP\13693.obj,,,,,,,,,,,,,missing_reliable_catalogue_dimensions,,
1381T-S-0,"Veil™ One-piece elongated toilet with skirted trapway, dual-flush",Toilet Area,One Piece,data\3d_sample\source\1381T-S-0\1381T-S.obj,,,,,,,,,,,,,missing_reliable_catalogue_dimensions,,
1394IN-H2-0,Riverbath™ 167.8 cm drop-in heated whirlpool bath with chromatherapy,Wellness,Drop-in Bathtubs,data\3d_sample\source\1394IN-H2-0\1394IN-H2.obj,,,,,,,,,,,,,missing_reliable_catalogue_dimensions,,
