product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
18343T-0,Evok™ 167.5 cm x 76.2 cm freestanding bath,Evok™,18343T,Wellness,Freestanding Bathtubs,https://www.kohler.co.in/p/evok-1-6m-rectangular-freestanding-acrylic-bath-18343t?skuId=18343T-0,193299.0,,,INR,167.5 cm x 76.2 cm freestanding bath,White,0,Acrylic,Freestanding,,"Bathtub, Installation Manual, Warranty Document; None",Freestanding design creates a striking focal point in your bathing area; 66 inch (167.5 cm) x 30 inch (76.2 cm) x 24 inch (61 cm); 17 inch (43.2 cm) depth offers a deep soaking experience; Integral lumbar support,,,,https://files.kohler.com.cn/pdfs/18343T_r.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-freestanding-bathtubs,False,
8331T-0,Veil™ 164.9 cm x 95.4 cm freestanding bath,Veil™,8331T,Wellness,Freestanding Bathtubs,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,825000.0,,,INR,164.9 cm x 95.4 cm freestanding bath,White,0,KOHLER® Lithocast™ Gloss cast resin,Freestanding,,"Bathtub, Installation Manual, Warranty Document; None",Freestanding design creates a striking focal point in your bathing area; 64.9 inch (164.9 cm) x 37.5 inch (95.4 cm) x 24.3 inch (61.9 cm); 16 inch (40.6 cm) soaking depth; Integral lumbar support; Slotted overflow allows for deep soaking; Center toe-tap drain with KOHLER® Lithocast™ cover; Coordinates with other products in the Veil™ collection,,,,https://techcomm.kohler.com/techcomm/pdf/170821_RI_K-8331T_final1.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-freestanding-bathtubs,False,
11195T-0,Cleo™ 175 cm x 80 cm freestanding bath,Cleo™,11195T,Wellness,Freestanding Bathtubs,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,420000.0,,,INR,175 cm x 80 cm freestanding bath,White,0,KOHLER® enameled cast iron,Freestanding,,"Bathtub, Installation Manual, Warranty Document; None",Freestanding design creates a striking focal point in your bathing area; Overflow channel for deep soak; Center drain; Integral lumbar support on both ends; Sloping backrest provides comfort; Requires feet (sold separately); Drain sold separately,,,,https://techcomm.kohler.com/techcomm/pdf/K-11195T_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-freestanding-bathtubs,False,
1800T-0,Abrazo™ 167.6 cm x 80 cm freestanding bath,Abrazo™,1800T,Wellness,Freestanding Bathtubs,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,1150000.0,,,INR,167.6 cm x 80 cm freestanding bath,White,0,KOHLER Lithocast® cast resin,Freestanding,,"Bathtub, Installation Manual, Warranty Document; None",Unique shape and freestanding design offer contemporary style; 66 inch (167.6 cm) x 31.5 inch (80 cm) x 28.5 inch (72.5 cm); 18 inch (45.7 cm) depth offers a deep soaking experience; Integral lumbar support; Slotted overflow allows for deep soaking; Easy to clean and maintain; Center toe-tap drain with KOHLER® Lithocast™ cover,,,,https://techcomm.kohler.com/techcomm/pdf/K-1800T_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-freestanding-bathtubs,False,
20249T-0,Karing™ 180 cm x 80 cm freestanding bath,Karing™,20249T,Wellness,Freestanding Bathtubs,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,574749.0,,,INR,180 cm x 80 cm freestanding bath,White,0,KOHLER® Lithocast™ Gloss cast resin,Freestanding,,"Bathtub, Installation Manual, Warranty Document; None",Freestanding design creates a striking focal point in your bathing area; Oval basin creates a spacious bathing experience; 71 inch (180 cm) x 31 inch (80 cm) x 23.82 inch (60.5 cm); Overflow channel for deep soak; Center toe-tap drain with KOHLER® Lithocast™ cover; 14 inch (35.5 cm) soaking depth; Integral lumbar support,,,,https://techcomm.kohler.com/techcomm/pdf/K-20249T_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/bathtubs/shop-freestanding-bathtubs,False,
28529IN-0,"Leap™ One-piece round-front smart toilet, dual-flush",Leap™,28529IN,Toilet Area,Smart Toilet,https://www.kohler.co.in/p/leap-one-piece-round-front-smart-toilet-dual-flush-28529in?skuId=28529IN-0,446499.0,,,INR,"One-piece round-front smart toilet, dual-flush",White,0,Plastic seat,"Standard 12 inch (305 mm) rough-in; Requires dedicated electrical GFCI circuit (220-240 V, 10 A, 50-60 Hz)",,1 INTELLIGENT TOILET; 1 INSTALLATION GUIDE; 1 REMOTE; 1 WAX RING; 1 ANGLE -VALVE; 1 BATTERY; 1 WARRANTY CARD; 1 FITTING KIT; 1 TEE-VALVE; None,"One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design; Round-front bowl offers an ideal solution for smaller bathrooms and powder rooms; Rim-to-floor height: 15.7 inch (40 cm); Dual-flush offers a choice of 0.8 or 1.2 gpf (3.0 or 4.5 lpf); Touchless technology allows hands-free operation to actuate the flush; Automatic flushing after every use; flush can also be controlled by the remote control or backup button; Manual flush button on control panel; Fully skirted trapway simplifies cleaning; 1.9 inch (49 mm) fully glazed trapway; Includes bidet seat; Quiet-Close™ functionality to prevent seat from slamming; Grip-Tight bumpers hold seat firmly in place; Stainless steel wand offers adjustable spray shape, position, water pressure, temperature, pulsate, and oscillate functions; Front and rear wash modes provide warm water for cleansing; Self-cleaning function uses UV light to automatically sanitize the wand surfaces; Motion-activated, hands-free opening/closing of cover; Warm-air drying system; Heated seat with adjustable temperature settings; Seat features automatic deodorization; Energy Save feature monitors usage and adjusts heated seat settings to save energy; Includes: premium remote control, fitting kit, wax ring, angle valve, tee connector, batteries, supply line, inlet hose kit, and installation instructions",,,,https://techcomm.kohler.com/techcomm/pdf/K-28529IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/toilets/shop-smart-toilet,False,
3983IN-S-0,"Reach™ One-piece round-front toilet with skirted trapway, dual-flush",Reach™,3983IN-S,Toilet Area,One Piece,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0,16829.0,,,INR,"One-piece round-front toilet with skirted trapway, dual-flush",White,0,Plastic seat,Standard 12 inch (305 mm) rough-in; Supply line sold separately,,Packaging content- 1Toilet Bowl; 1 Toilet Seat; 1 installation Template; 1 warranty card; None,"One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design; Round-front bowl offers an ideal solution for smaller bathrooms and powder rooms; Rim-to-floor height: 15.39 inches (39.1 cm); Top-mount polished chrome dual-flush button offers a choice of 1.0 or 1.28 gpf (3.3 or 4.8 lpf); Class Five™ flushing technology provides powerful flushing performance and best-in-class bowl cleanliness; 2.44 inch (62 mm) fully glazed trapway; Fully skirted trapway simplifies cleaning; Round-front seat with lid; Quiet-Close™ functionality to prevent seat from slamming; Coordinates with other products in the Reach™ collection",,,,https://techcomm.kohler.com/techcomm/pdf/K-3983IN-S_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/toilets/shop-one-piece,False,
17629IN-SM-0,Ove 1Pc complete toilet bundle in White,,,Toilet Area,One Piece,https://www.kohler.co.in/p/ove-1-pc-complete-toilet-bundle-in-white-1?skuId=17629IN-SM-0,19239.0,,,INR,,,0,,,,,,,,,,False,https://www.kohler.co.in/p/toilets/shop-one-piece,False,
1381T-S-0,"Veil™ One-piece elongated toilet with skirted trapway, dual-flush",Veil™,1381T-S,Toilet Area,One Piece,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0,33599.0,,,INR,"One-piece elongated toilet with skirted trapway, dual-flush",White,0,Plastic seat,Standard 12 inch (305 mm) rough-in; Supply line sold separately,,"1 TOILET; 1 TOILET SEAT, 1 FLOOR MOUNTING KIT; 1 INSTALLATION TEMPLATE; 1 COMPLIANCE CERTIFICATE;; None","One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design; Elongated bowl offers added room and comfort; Rim-to-floor height: 39 cm (15-3/8 inches); Dual-flush offers a choice of 0.8 or 1.28 gpf (3.0 or 4.5 lpf); Washdown flushing system; Left-hand Polished Chrome trip lever; 52 mm (2 inch) fully glazed trapway; Fully skirted trapway simplifies cleaning; Seat and lid included; Quiet-Close™ functionality to prevent seat from slamming; Quick-Attach™ hardware for fast and secure installation; Quick-Release™ functionality allows seat to be removed easily from toilet for convenient cleaning; Coordinates with other products in the Veil collection; Compatible with C3™ and PureWash™ electronic bidet seats (sold separately)",,,,https://techcomm.kohler.com/techcomm/pdf/K-1381T-S_spec_CN_Kohler_en.pdf,True,https://www.kohler.co.in/p/toilets/shop-one-piece,False,
8688T-S-0,"San Raphael Grande™ One-piece elongated toilet with skirted trapway, 4.8 lpf",San Raphael Grande™,8688T-S,Toilet Area,One Piece,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0,50399.0,,,INR,"One-piece elongated toilet with skirted trapway, 4.8 lpf",White,0,Plastic seat,Mounting hardware included; Standard 12 inch (305 mm) rough-in,,"1 TOILET;
1 FLOOR FIXING KIT;
1 INSTALLTION INSTRUCTIONS; 1 COMPLIANCE CERTIFICATION; None","One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design; Elongated bowl offers added room and comfort; Rim-to-floor height: 39 cm (15-3/8 inches); 1.28 gpf (4.8 lpf); Left-hand trip lever; 2.3 inch (59 mm) fully glazed trapway; Fully skirted trapway simplifies cleaning; Class Five™ canister optimizes the flow out of the tank, harnessing gravity and the natural powerful reducing cascade of water to increase the power and effectiveness of the flush; French Curve™ seat and lid included; Quiet-Close™ seat with Quick-Release™ functionality closes quietly and quickly unlatches from the toilet for easy removal and convenient cleaning",,,,https://techcomm.kohler.com/techcomm/pdf/K-8688T-S_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/toilets/shop-one-piece,False,
