product_code,asset_url,asset_type_normalized,file_format_normalized,product_url,product_exists,asset_id
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188IN-C1.obj,3d model,OBJ,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000051
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188IN-C1.skp,3d model,SKP,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000052
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188IN-C1.3ds,3d model,3DS,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000048
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/Bath-Drop_In-Effervesence-KOHLER-Sok-K-1188IN.rfa,3d model,RFA,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_002473
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188in_c1pln.dxf,cad drawing,DXF,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000056
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188in_c1pln.dwg,cad drawing,DWG,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000055
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188in_c1frt.dxf,cad drawing,DXF,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000054
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188in_c1frt.dwg,cad drawing,DWG,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000053
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188in_c1sde.dxf,cad drawing,DXF,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000058
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188in_c1sde.dwg,cad drawing,DWG,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000057
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188IN-C1.dxf,cad drawing,DXF,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000050
1188IN-C1-0,https://techcomm.kohler.com/techcomm/cad/1188IN-C1.dwg,cad drawing,DWG,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_000049
1188IN-C1-0,https://techcomm.kohler.com/techcomm/pdf/K-1188IN-C1_spec_IN_Kohler_en.pdf,spec sheet,PDF,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0,True,asset_002926
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847T.obj,3d model,OBJ,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000223
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847T.skp,3d model,SKP,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000224
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847T.3ds,3d model,3DS,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000220
15847T-0,https://techcomm.kohler.com/techcomm/cad/Bath-Drop_In-KOHLER-REACH-K-15847T.rfa,3d model,RFA,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_002478
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847tpln.dxf,cad drawing,DXF,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000228
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847tpln.dwg,cad drawing,DWG,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000227
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847tfrt.dxf,cad drawing,DXF,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000226
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847tfrt.dwg,cad drawing,DWG,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000225
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847tsde.dxf,cad drawing,DXF,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000230
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847tsde.dwg,cad drawing,DWG,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000229
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847T.dxf,cad drawing,DXF,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000222
15847T-0,https://techcomm.kohler.com/techcomm/cad/15847T.dwg,cad drawing,DWG,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0,True,asset_000221
