product_code,asset_type,file_format,asset_url,product_url,file_format_normalized,asset_type_normalized,asset_id,is_3d,is_obj,is_skp,is_3ds,is_rfa,is_dwg,is_dxf,is_pdf,source_domain
18343T-0,Spec Sheet,PDF,https://files.kohler.com.cn/pdfs/18343T_r.pdf,https://www.kohler.co.in/p/evok-1-6m-rectangular-freestanding-acrylic-bath-18343t?skuId=18343T-0,PDF,spec sheet,asset_000001,False,False,False,False,False,False,False,True,files.kohler.com.cn
38973IN-CP,3D Model,RFA,https://kohler.scene7.com/is/image/kohlergbhcloudprod/Shower-Showerhead-KOHLER-Filter_SF-K-38973IN.rfa,https://www.kohler.co.in/p/pristine-rectangular-254-mm-single-function-filtered-rainhead-12-0-lpm-38973in?skuId=38973IN-CP,RFA,3d model,asset_000002,True,False,False,False,True,False,False,False,kohler.scene7.com
10385IN-CP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/10385IN.3ds,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP,3DS,3d model,asset_000003,True,False,False,True,False,False,False,False,techcomm.kohler.com
10385IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/10385IN.dwg,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP,DWG,cad drawing,asset_000004,False,False,False,False,False,True,False,False,techcomm.kohler.com
10385IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/10385IN.dxf,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP,DXF,cad drawing,asset_000005,False,False,False,False,False,False,True,False,techcomm.kohler.com
10385IN-CP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/10385IN.obj,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP,OBJ,3d model,asset_000006,True,True,False,False,False,False,False,False,techcomm.kohler.com
10385IN-CP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/10385IN.skp,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP,SKP,3d model,asset_000007,True,False,True,False,False,False,False,False,techcomm.kohler.com
10385IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/10385infrt.dwg,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP,DWG,cad drawing,asset_000008,False,False,False,False,False,True,False,False,techcomm.kohler.com
10385IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/10385infrt.dxf,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP,DXF,cad drawing,asset_000009,False,False,False,False,False,False,True,False,techcomm.kohler.com
10385IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/10385inpln.dwg,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP,DWG,cad drawing,asset_000010,False,False,False,False,False,True,False,False,techcomm.kohler.com
