source_product_code,target_product_code,relation_type,source,confidence,target_resolved,notes
15847T-0,inRiver_1336299,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1336299
1704T-Z-0,inRiver_1336299,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1336299; inRiver_878644
1704T-Z-0,inRiver_878644,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1336299; inRiver_878644
18776T-0,inRiver_1336299,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1336299
15848T-0,inRiver_1336299,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1336299
18778T-0,inRiver_1336299,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1336299
1418-V-0,inRiver_242826,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_242826; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238
1418-V-0,inRiver_213884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_242826; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238
1418-V-0,inRiver_213880,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_242826; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238
1418-V-0,inRiver_241232,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_242826; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238
1418-V-0,inRiver_1520238,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_242826; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238
1360IN-H2-0,inRiver_226220,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_226220; inRiver_241232; inRiver_242948; inRiver_247956; inRiver_1520238; inRiver_213884; inRiver_213880
1360IN-H2-0,inRiver_241232,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_226220; inRiver_241232; inRiver_242948; inRiver_247956; inRiver_1520238; inRiver_213884; inRiver_213880
1360IN-H2-0,inRiver_242948,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_226220; inRiver_241232; inRiver_242948; inRiver_247956; inRiver_1520238; inRiver_213884; inRiver_213880
1360IN-H2-0,inRiver_247956,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_226220; inRiver_241232; inRiver_242948; inRiver_247956; inRiver_1520238; inRiver_213884; inRiver_213880
1360IN-H2-0,inRiver_1520238,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_226220; inRiver_241232; inRiver_242948; inRiver_247956; inRiver_1520238; inRiver_213884; inRiver_213880
1360IN-H2-0,inRiver_213884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_226220; inRiver_241232; inRiver_242948; inRiver_247956; inRiver_1520238; inRiver_213884; inRiver_213880
1360IN-H2-0,inRiver_213880,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_226220; inRiver_241232; inRiver_242948; inRiver_247956; inRiver_1520238; inRiver_213884; inRiver_213880
1394IN-H2-0,inRiver_247956,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_247956; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238
1394IN-H2-0,inRiver_213884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_247956; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238
1394IN-H2-0,inRiver_213880,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_247956; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238
1394IN-H2-0,inRiver_241232,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_247956; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238
1394IN-H2-0,inRiver_1520238,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_247956; inRiver_213884; inRiver_213880; inRiver_241232; inRiver_1520238
1709IN-K-0,inRiver_1336299,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1336299
97367T-B4-CP,inRiver_879409,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_879409
T9540-4-CP,inRiver_237832,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_237832; inRiver_239197
T9540-4-CP,inRiver_239197,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_237832; inRiver_239197
77963-8A-BL,inRiver_258692,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_258692; inRiver_258700; inRiver_258708; inRiver_258716; inRiver_258734
77963-8A-BL,inRiver_258700,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_258692; inRiver_258700; inRiver_258708; inRiver_258716; inRiver_258734
77963-8A-BL,inRiver_258708,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_258692; inRiver_258700; inRiver_258708; inRiver_258716; inRiver_258734
77963-8A-BL,inRiver_258716,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_258692; inRiver_258700; inRiver_258708; inRiver_258716; inRiver_258734
77963-8A-BL,inRiver_258734,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_258692; inRiver_258700; inRiver_258708; inRiver_258716; inRiver_258734
5684IN-4ND-CP,inRiver_558780,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558780
23486IN-4ND-CP,inRiver_558780,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558780
5683IN-4ND-CP,inRiver_558780,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558780
25759IN-4ND-CP,inRiver_558780,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558780
25148IN-4ND-CP,inRiver_2491222,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_2491222
33103IN-4ND-CP,inRiver_2491222,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_2491222
27483IN-4ND-CP,inRiver_1482559,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482559
27488IN-4ND-CP,inRiver_2491222,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_2491222
27487IN-4ND-CP,inRiver_2491222,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_2491222
26791IN-4ND-CP,inRiver_1482559,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482559
27489IN-4ND-CP,inRiver_2491222,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_2491222
27481IN-4ND-CP,inRiver_1482559,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482559
26284IN-AF,inRiver_1337884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884; inRiver_2371536
26284IN-AF,inRiver_2371536,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884; inRiver_2371536
16359IN-A-CP,inRiver_1337884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884; inRiver_2371536
16359IN-A-CP,inRiver_2371536,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884; inRiver_2371536
24717IN-CP,inRiver_1337884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884; inRiver_2371536
24717IN-CP,inRiver_2371536,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884; inRiver_2371536
72421IN-CP,inRiver_1337884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884
98445IN-CP,inRiver_1337884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884
98444IN-CP,inRiver_1337884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884
97009IN-CP,inRiver_1337884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884; inRiver_2371536
97009IN-CP,inRiver_2371536,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884; inRiver_2371536
26286IN-G-AF,inRiver_1337884,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884; inRiver_2371536
26286IN-G-AF,inRiver_2371536,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1337884; inRiver_2371536
97009T-AF,inRiver_558981,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558981
24717T-BL,inRiver_201659,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_201659; inRiver_241724; inRiver_242351; inRiver_242359
24717T-BL,inRiver_241724,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_201659; inRiver_241724; inRiver_242351; inRiver_242359
24717T-BL,inRiver_242351,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_201659; inRiver_241724; inRiver_242351; inRiver_242359
