source_product_code,target_reference,target_product_code,relation_type,source,confidence,resolution_status,notes
15847T-0,inRiver_1336299,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1704T-Z-0,inRiver_1336299,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1704T-Z-0,inRiver_878644,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
18776T-0,inRiver_1336299,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
15848T-0,inRiver_1336299,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
18778T-0,inRiver_1336299,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1418-V-0,inRiver_242826,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1418-V-0,inRiver_213884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1418-V-0,inRiver_213880,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1418-V-0,inRiver_241232,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1418-V-0,inRiver_1520238,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1360IN-H2-0,inRiver_226220,T9540-4-CP,requires,kohler_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
1360IN-H2-0,inRiver_241232,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1360IN-H2-0,inRiver_242948,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1360IN-H2-0,inRiver_247956,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1360IN-H2-0,inRiver_1520238,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1360IN-H2-0,inRiver_213884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1360IN-H2-0,inRiver_213880,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1394IN-H2-0,inRiver_247956,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1394IN-H2-0,inRiver_213884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1394IN-H2-0,inRiver_213880,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1394IN-H2-0,inRiver_241232,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1394IN-H2-0,inRiver_1520238,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
1709IN-K-0,inRiver_1336299,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
97367T-B4-CP,inRiver_879409,97904T-NA,requires,kohler_api,1.0,resolved,Exact internal ID and SKU evidence from captured KOHLER India PDP/API JSON.
T9540-4-CP,inRiver_237832,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
T9540-4-CP,inRiver_239197,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
77963-8A-BL,inRiver_258692,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
77963-8A-BL,inRiver_258700,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
77963-8A-BL,inRiver_258708,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
77963-8A-BL,inRiver_258716,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
77963-8A-BL,inRiver_258734,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
5684IN-4ND-CP,inRiver_558780,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
23486IN-4ND-CP,inRiver_558780,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
5683IN-4ND-CP,inRiver_558780,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
25759IN-4ND-CP,inRiver_558780,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
25148IN-4ND-CP,inRiver_2491222,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
33103IN-4ND-CP,inRiver_2491222,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
27483IN-4ND-CP,inRiver_1482559,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
27488IN-4ND-CP,inRiver_2491222,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
27487IN-4ND-CP,inRiver_2491222,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26791IN-4ND-CP,inRiver_1482559,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
27489IN-4ND-CP,inRiver_2491222,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
27481IN-4ND-CP,inRiver_1482559,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26284IN-AF,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26284IN-AF,inRiver_2371536,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
16359IN-A-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
16359IN-A-CP,inRiver_2371536,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717IN-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717IN-CP,inRiver_2371536,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
72421IN-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
98445IN-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
98444IN-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
97009IN-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
97009IN-CP,inRiver_2371536,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26286IN-G-AF,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26286IN-G-AF,inRiver_2371536,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
97009T-AF,inRiver_558981,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717T-BL,inRiver_201659,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717T-BL,inRiver_241724,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717T-BL,inRiver_242351,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717T-BL,inRiver_242359,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_241724,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_240804,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_242359,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_201659,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_240787,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_242351,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
9301IN-CL-CP,inRiver_559635,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
9301IN-CL-CP,inRiver_558250,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
9301IN-CL-CP,inRiver_1336469,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
9302IN-CL-CP,inRiver_559635,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
