metric,value,details
total_explicit_relations,167,
resolved_relations,2,
unresolved_relations,165,
ambiguous_relations,0,
resolution_rate,0.0120,resolved / total explicit relations
assemblies_completed,205,No unresolved or ambiguous required component references
assemblies_still_incomplete,83,At least one unresolved or ambiguous required component reference
unique_internal_ids_in_evidence,255,Evidence scanned from D:\Kohler\Kohler\kohler-ai-designer\data\_debug
resolved_internal_ids,250,
unresolved_internal_ids,5,
ambiguous_internal_ids,0,
unresolved_internal_id,26,inRiver_1730109
unresolved_internal_id,13,inRiver_1482653
unresolved_internal_id,8,inRiver_1337884
unresolved_internal_id,8,inRiver_3086862
unresolved_internal_id,7,inRiver_559635
unresolved_internal_id,6,inRiver_1336299
unresolved_internal_id,6,inRiver_1337905
unresolved_internal_id,6,inRiver_559628
unresolved_internal_id,5,inRiver_2491222
unresolved_internal_id,5,inRiver_2371536
unresolved_internal_id,4,inRiver_558780
unresolved_internal_id,4,inRiver_558250
unresolved_internal_id,4,inRiver_558305
unresolved_internal_id,3,inRiver_213884
unresolved_internal_id,3,inRiver_213880
unresolved_internal_id,3,inRiver_241232
unresolved_internal_id,3,inRiver_1520238
unresolved_internal_id,3,inRiver_1482559
unresolved_internal_id,3,inRiver_2492049
unresolved_internal_id,2,inRiver_247956
unresolved_internal_id,2,inRiver_201659
unresolved_internal_id,2,inRiver_241724
unresolved_internal_id,2,inRiver_242351
unresolved_internal_id,2,inRiver_242359
unresolved_internal_id,2,inRiver_1336469
unresolved_internal_id,2,inRiver_559461
unresolved_internal_id,2,inRiver_2371559
unresolved_internal_id,2,inRiver_877874
unresolved_internal_id,2,inRiver_1482276
unresolved_internal_id,2,inRiver_1933656
unresolved_internal_id,2,inRiver_1336387
unresolved_internal_id,1,inRiver_878644
unresolved_internal_id,1,inRiver_242826
unresolved_internal_id,1,inRiver_242948
unresolved_internal_id,1,inRiver_237832
unresolved_internal_id,1,inRiver_239197
unresolved_internal_id,1,inRiver_258692
unresolved_internal_id,1,inRiver_258700
unresolved_internal_id,1,inRiver_258708
unresolved_internal_id,1,inRiver_258716
unresolved_internal_id,1,inRiver_258734
unresolved_internal_id,1,inRiver_558981
unresolved_internal_id,1,inRiver_240804
unresolved_internal_id,1,inRiver_240787
unresolved_internal_id,1,inRiver_1482720
unresolved_internal_id,1,inRiver_1336470
unresolved_internal_id,1,inRiver_1933683
unresolved_internal_id,1,inRiver_2312522
unresolved_internal_id,1,inRiver_3128234
unresolved_internal_id,1,inRiver_232048
unresolved_internal_id,1,inRiver_244082
unresolved_internal_id,1,inRiver_200827
