product_code,asset_type,file_format,asset_url,product_url
15847T-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/15847T.obj,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/15847T.skp,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/15847T.3ds,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Bath-Drop_In-KOHLER-REACH-K-15847T.rfa,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/15847tpln.dxf,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/15847tpln.dwg,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/15847tfrt.dxf,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/15847tfrt.dwg,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/15847tsde.dxf,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/15847tsde.dwg,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/15847T.dxf,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/15847T.dwg,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-15847T_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
15847T-0,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/15847t.pdf,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
18775T-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/18775T.obj,https://www.kohler.co.in/p/duo-1670-mm-x-760-mm-drop-in-bath-18775t?skuId=18775T-0
18775T-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/18775T.skp,https://www.kohler.co.in/p/duo-1670-mm-x-760-mm-drop-in-bath-18775t?skuId=18775T-0
18775T-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/18775T.3ds,https://www.kohler.co.in/p/duo-1670-mm-x-760-mm-drop-in-bath-18775t?skuId=18775T-0
18775T-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Bath-Drop_In-KOHLER-DUO-K-18775T.rfa,https://www.kohler.co.in/p/duo-1670-mm-x-760-mm-drop-in-bath-18775t?skuId=18775T-0
18775T-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/18775tpln.dxf,https://www.kohler.co.in/p/duo-1670-mm-x-760-mm-drop-in-bath-18775t?skuId=18775T-0
18775T-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/18775tpln.dwg,https://www.kohler.co.in/p/duo-1670-mm-x-760-mm-drop-in-bath-18775t?skuId=18775T-0
18775T-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/18775tfrt.dxf,https://www.kohler.co.in/p/duo-1670-mm-x-760-mm-drop-in-bath-18775t?skuId=18775T-0
