parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
15847T-0,15847T-0,White,0,White,,,https://www.kohler.co.in/p/reach-1500-mm-x-700-mm-drop-in-bath-15847t?skuId=15847T-0
18775T-0,18775T-0,White,0,White,,,https://www.kohler.co.in/p/duo-1670-mm-x-760-mm-drop-in-bath-18775t?skuId=18775T-0
1704T-Z-0,1704T-Z-0,White,0,White,,,https://www.kohler.co.in/p/evok-1800-mm-x-800-mm-drop-in-bath-1704t-z?skuId=1704T-Z-0
18776T-0,18776T-0,White,0,White,,,https://www.kohler.co.in/p/duo-1520-mm-x-760-mm-drop-in-bath-18776t?skuId=18776T-0
15848T-0,15848T-0,White,0,White,,,https://www.kohler.co.in/p/reach-1700-mm-x-700-mm-drop-in-bath-15848t?skuId=15848T-0
18778T-0,18778T-0,White,0,White,,,https://www.kohler.co.in/p/emerald-acrylic-drop-in-bathtub-18778t?skuId=18778T-0
18749IN-W03C-0,18749IN-W03C-0,White,0,White,,,https://www.kohler.co.in/p/evora-1850-mm-x-1100-mm-drop-in-acrylic-rectangular-whirlpool-bath-with-chromatherapy-18749in-w03c?skuId=18749IN-W03C-0
18343T-0,18343T-0,White,0,White,,,https://www.kohler.co.in/p/evok-1-6m-rectangular-freestanding-acrylic-bath-18343t?skuId=18343T-0
1418-V-0,1418-V-0,White,0,White,,,https://www.kohler.co.in/p/memoirs-72-x-42-drop-in-effervescence-whirlpool-with-spa-massage-package-1418-v?skuId=1418-V-0
20627IN-K-0,20627IN-K-0,White,0,White,,,https://www.kohler.co.in/p/hourglass-1529-mm-x-818-mm-corner-whirlpool-bath-20627in-k?skuId=20627IN-K-0
8331T-0,8331T-0,White,0,White,,,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0
1360IN-H2-0,1360IN-H2-0,White,0,White,,,https://www.kohler.co.in/p/riverbath-1905-mm-x-1143-mm-drop-in-heated-whirlpool-bath-with-chromatherapy-1360in-h2?skuId=1360IN-H2-0
1394IN-H2-0,1394IN-H2-0,White,0,White,,,https://www.kohler.co.in/p/riverbath-1678-mm-drop-in-heated-whirlpool-bath-with-chromatherapy-1394in-h2?skuId=1394IN-H2-0
1709IN-K-0,1709IN-K-0,White,0,White,,,https://www.kohler.co.in/p/ove-1700-mm-x-750-mm-drop-in-whirlpool-bath-1709in-k?skuId=1709IN-K-0
76442IN-NW-0,76442IN-NW-0,White,0,White,,,https://www.kohler.co.in/p/karess-1700-mm-x-800-mm-drop-in-whirlpool-bath-76442in-nw?skuId=76442IN-NW-0
20249T-0,20249T-0,White,0,White,,,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0
11195T-0,11195T-0,White,0,White,,,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0
1188IN-C1-0,1188IN-C1-0,White,0,White,,,https://www.kohler.co.in/p/sok-1905-mm-x-1040-mm-drop-in-whirlpool-bath-with-effervescence-and-chromatherapy-1188in-c1?skuId=1188IN-C1-0
1800T-0,1800T-0,White,0,White,,,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0
