product_code,asset_type,file_format,asset_url,product_url
33074IN-CP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/33074IN.obj,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/33074IN.skp,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/33074IN.3ds,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Faucet-Wall_Mount-Bath_Spout-KOHLER-ACCLIV-K-33074IN.rfa,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/33074inpln.dxf,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/33074inpln.dwg,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/33074infrt.dxf,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/33074infrt.dwg,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/33074insde.dxf,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/33074insde.dwg,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/33074IN.dxf,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/33074IN.dwg,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-33074IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/1472380-IN2.pdf,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
23973IN-AA-CP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/23973IN-AA.obj,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
23973IN-AA-CP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/23973IN-AA.skp,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
23973IN-AA-CP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/23973IN-AA.3ds,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
