parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
33074IN-CP,33074IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
33074IN-CP,33074IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/accliv-wall-mount-bath-spout-without-diverter-33074in?skuId=33074IN-CP
23973IN-AA-CP,23973IN-AA-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
23973IN-AA-CP,23973IN-AA-RGD,Vibrant French Gold,RGD,Vibrant French Gold,,,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
23973IN-AA-CP,23973IN-AA-AF,Vibrant Rose Gold,AF,Vibrant Rose Gold,,,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
23973IN-AA-CP,23973IN-AA-BL,Matte Black,BL,Matte Black,,,https://www.kohler.co.in/p/bath-spout-without-diverter-in-rose-gold-23973in-aa?skuId=23973IN-AA-CP
14426IN-CP,14426IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/purist-bath-spout-without-diverter-14426in?skuId=14426IN-CP
33996IN-CP,33996IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/apt-wall-mount-bath-spout-with-diverter-33996in?skuId=33996IN-CP
99460IN-4-CP,99460IN-4-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/kumin-exposed-sc-b-s-faucet-99460in-4?skuId=99460IN-4-CP
27493IN-CP,27493IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/fore-bath-spout-with-diverter-27493in?skuId=27493IN-CP
27493IN-CP,27493IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/fore-bath-spout-with-diverter-27493in?skuId=27493IN-CP
14426-2MB,14426-2MB,Vibrant Brushed Moderne Brass,,Vibrant Brushed Moderne Brass,,,https://www.kohler.co.in/p/purist-wall-mount-non-diverter-bath-spout-35-degrees-14426?skuId=14426-2MB
27492IN-CP,27492IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/fore-arc-bath-spout-without-diverter-27492in?skuId=27492IN-CP
27492IN-CP,27492IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/fore-arc-bath-spout-without-diverter-27492in?skuId=27492IN-CP
97905T-NA,97905T-NA,Not Applicable,NA,Not Applicable,,,https://www.kohler.co.in/p/mounting-block-97905t?skuId=97905T-NA
14428T-4-RGD,14428T-4-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/purist-bath-set-hob-mount-lever-handles-14428t-4?skuId=14428T-4-RGD
25764IN-CP,25764IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-with-diverter-25764in?skuId=25764IN-CP
25764IN-CP,25764IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-with-diverter-25764in?skuId=25764IN-CP
25764IN-CP,25764IN-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-with-diverter-25764in?skuId=25764IN-CP
25764IN-CP,25764IN-CP,Matte Black,CP,Matte Black,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-with-diverter-25764in?skuId=25764IN-CP
97904T-NA,97904T-NA,Not Applicable,NA,Not Applicable,,,https://www.kohler.co.in/p/floormount-bath-shower-fau-mounting-base-97904t?skuId=97904T-NA
10385IN-CP,10385IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP
10385IN-CP,10385IN-BV,Vibrant French Gold,BV,Vibrant French Gold,,,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP
10385IN-CP,10385IN-AF,Vibrant Brushed Bronze,AF,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP
10385IN-CP,10385IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/complementary-bath-spout-without-diverter-flat-face-160mm-10385in?skuId=10385IN-CP
99060IN-CP,99060IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/july-bath-spout-without-diverter-in-polished-chrome-99060in?skuId=99060IN-CP
T98071-4-BV,T98071-4-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/artifacts-deck-mount-bath-lever-handle-trim-t98071-4?skuId=T98071-4-BV
25765IN-CP,25765IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-25765in?skuId=25765IN-CP
25765IN-CP,25765IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-25765in?skuId=25765IN-CP
25765IN-CP,25765IN-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-25765in?skuId=25765IN-CP
25765IN-CP,25765IN-CP,Matte Black,CP,Matte Black,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bath-spout-25765in?skuId=25765IN-CP
23512IN-CP,23512IN-BV,Polished Chrome,BV,Polished Chrome,,,https://www.kohler.co.in/p/parallel-bath-spout-without-diverter-23512in?skuId=23512IN-CP
23512IN-CP,23512IN-RGD,Vibrant French Gold,RGD,Vibrant French Gold,,,https://www.kohler.co.in/p/parallel-bath-spout-without-diverter-23512in?skuId=23512IN-CP
23512IN-CP,23512IN-CP,Vibrant Rose Gold,CP,Vibrant Rose Gold,,,https://www.kohler.co.in/p/parallel-bath-spout-without-diverter-23512in?skuId=23512IN-CP
23512IN-CP,23512IN-AF,Vibrant Brushed Bronze,AF,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/parallel-bath-spout-without-diverter-23512in?skuId=23512IN-CP
23512IN-CP,23512IN-BL,Matte Black,BL,Matte Black,,,https://www.kohler.co.in/p/parallel-bath-spout-without-diverter-23512in?skuId=23512IN-CP
23512IN-CP,23512IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/parallel-bath-spout-without-diverter-23512in?skuId=23512IN-CP
73120-2MB,73120-2MB,Vibrant Titanium,,Vibrant Titanium,,,https://www.kohler.co.in/p/composed-wall-mount-bath-spout-73120?skuId=73120-2MB
73120-2MB,73120-TT,Vibrant Brushed Moderne Brass,TT,Vibrant Brushed Moderne Brass,,,https://www.kohler.co.in/p/composed-wall-mount-bath-spout-73120?skuId=73120-2MB
33995IN-CP,33995IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/apt-wall-mount-bath-spout-33995in?skuId=33995IN-CP
72791-CP,72791-BV,Polished Chrome,BV,Polished Chrome,,,https://www.kohler.co.in/p/artifacts-wall-mount-bath-spout-with-flare-design-72791?skuId=72791-CP
72791-CP,72791-CP,Vibrant Brushed Bronze,CP,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/artifacts-wall-mount-bath-spout-with-flare-design-72791?skuId=72791-CP
26046IN-CP,26046IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/beam-bath-spout-wo-diverter-26046in?skuId=26046IN-CP
74046IN-A1-CP,74046IN-A1-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/taut-wall-mount-bath-spout-without-diverter-74046in-a1?skuId=74046IN-A1-CP
38471IN-CP,38471IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/engage-wall-mount-bath-spout-with-diverter-38471in?skuId=38471IN-CP
38471IN-CP,38471IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/engage-wall-mount-bath-spout-with-diverter-38471in?skuId=38471IN-CP
99467IN-B-CP,99467IN-B-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/kumin-bath-spout-without-diverter-99467in-b?skuId=99467IN-B-CP
97367T-B4-CP,97367T-B4-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/avid-floor-mount-bath-filler-with-handshower-97367t-b4?skuId=97367T-B4-CP
