product_code,asset_type,file_format,asset_url,product_url
97347IN-4-CP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/97347IN-4.obj,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
97347IN-4-CP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/97347IN-4.skp,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
97347IN-4-CP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/97347IN-4.3ds,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
97347IN-4-CP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Faucet-Lavatory-KOHLER-Avid-K-97347IN.rfa,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
97347IN-4-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/97347in_4pln.dxf,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
97347IN-4-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/97347in_4pln.dwg,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
97347IN-4-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/97347in_4frt.dxf,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
97347IN-4-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/97347in_4frt.dwg,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
97347IN-4-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/97347in_4sde.dxf,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
97347IN-4-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/97347in_4sde.dwg,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
97347IN-4-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/97347IN-4.dxf,https://www.kohler.co.in/p/avid-single-control-tall-lavatory-faucet-with-drain-in-polished-chrome-97347in-4?skuId=97347IN-4-CP
