parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
5684IN-4ND-CP,5684IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,5684IN-4ND-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,5684IN-4ND-BL,Vibrant Rose Gold,BL,Vibrant Rose Gold,,,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,5684IN-4ND-RGD,Vibrant Brushed Bronze,RGD,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,5684IN-4ND-BV,Matte Black,BV,Matte Black,,,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
5684IN-4ND-CP,5684IN-4ND-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-in-polished-chrome-5684in-4nd?skuId=5684IN-4ND-CP
23975IN-4ND-CP,23975IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/vive-wall-mount-bathroom-sink-faucet-5-5-lpm-23975in-4nd?skuId=23975IN-4ND-CP
23975IN-4ND-CP,23975IN-4ND-RGD,Vibrant French Gold,RGD,Vibrant French Gold,,,https://www.kohler.co.in/p/vive-wall-mount-bathroom-sink-faucet-5-5-lpm-23975in-4nd?skuId=23975IN-4ND-CP
23975IN-4ND-CP,23975IN-4ND-AF,Vibrant Rose Gold,AF,Vibrant Rose Gold,,,https://www.kohler.co.in/p/vive-wall-mount-bathroom-sink-faucet-5-5-lpm-23975in-4nd?skuId=23975IN-4ND-CP
23975IN-4ND-CP,23975IN-4ND-BL,Matte Black,BL,Matte Black,,,https://www.kohler.co.in/p/vive-wall-mount-bathroom-sink-faucet-5-5-lpm-23975in-4nd?skuId=23975IN-4ND-CP
23486IN-4ND-CP,23486IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/parallel-wall-mount-sc-lav-faucet-23486in-4nd?skuId=23486IN-4ND-CP
23486IN-4ND-CP,23486IN-4ND-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/parallel-wall-mount-sc-lav-faucet-23486in-4nd?skuId=23486IN-4ND-CP
23486IN-4ND-CP,23486IN-4ND-BL,Vibrant Rose Gold,BL,Vibrant Rose Gold,,,https://www.kohler.co.in/p/parallel-wall-mount-sc-lav-faucet-23486in-4nd?skuId=23486IN-4ND-CP
23486IN-4ND-CP,23486IN-4ND-RGD,Vibrant Brushed Bronze,RGD,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/parallel-wall-mount-sc-lav-faucet-23486in-4nd?skuId=23486IN-4ND-CP
23486IN-4ND-CP,23486IN-4ND-BRD,Matte Black,BRD,Matte Black,,,https://www.kohler.co.in/p/parallel-wall-mount-sc-lav-faucet-23486in-4nd?skuId=23486IN-4ND-CP
23486IN-4ND-CP,23486IN-4ND-BV,Vibrant Brushed Rose Gold,BV,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/parallel-wall-mount-sc-lav-faucet-23486in-4nd?skuId=23486IN-4ND-CP
5683IN-4ND-CP,5683IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-5683in-4nd?skuId=5683IN-4ND-CP
5683IN-4ND-CP,5683IN-4ND-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-5683in-4nd?skuId=5683IN-4ND-CP
5683IN-4ND-CP,5683IN-4ND-RGD,Vibrant Brushed Bronze,RGD,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-5683in-4nd?skuId=5683IN-4ND-CP
5683IN-4ND-CP,5683IN-4ND-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/aleo-wall-mount-lavatory-faucet-trim-5683in-4nd?skuId=5683IN-4ND-CP
97358IN-4ND-CP,97358IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/avid-single-control-wall-mount-lavatory-faucet-without-drain-97358in-4nd?skuId=97358IN-4ND-CP
73061T-7-BV,73061T-7-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/composed-wall-mount-lavatory-faucet-73061t-7?skuId=73061T-7-BV
73061T-7-BV,73061T-7-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/composed-wall-mount-lavatory-faucet-73061t-7?skuId=73061T-7-BV
73061T-7-BV,73061T-7-RGD,Vibrant Brushed Bronze,RGD,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/composed-wall-mount-lavatory-faucet-73061t-7?skuId=73061T-7-BV
25759IN-4ND-CP,25759IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bathroom-sink-faucet-25759in-4nd?skuId=25759IN-4ND-CP
25759IN-4ND-CP,25759IN-4ND-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bathroom-sink-faucet-25759in-4nd?skuId=25759IN-4ND-CP
25759IN-4ND-CP,25759IN-4ND-BL,Vibrant Rose Gold,BL,Vibrant Rose Gold,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bathroom-sink-faucet-25759in-4nd?skuId=25759IN-4ND-CP
25759IN-4ND-CP,25759IN-4ND-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bathroom-sink-faucet-25759in-4nd?skuId=25759IN-4ND-CP
73067T-9ACH-BV,73067T-9ACH-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/composed-liu-guang-jing-yun-series-double-handle-wall-mounted-bathroom-sink-faucet-with-amber-gold-glazed-glass-handle-73067t-9ach?skuId=73067T-9ACH-BV
73061IN-4ND-CP,73061IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/composed-wall-mount-bathroom-sink-faucet-8-3-lpm-73061in-4nd?skuId=73061IN-4ND-CP
5680IN-4ND-CP,5680IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/july-wall-mount-lavatory-faucet-trim-in-polished-chrome-5680in-4nd?skuId=5680IN-4ND-CP
99876IN-4ND-CP,99876IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/beitou-wall-mount-lavatory-facuet-99876in-4nd?skuId=99876IN-4ND-CP
21969IN-4ND-BV,21969IN-4ND-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/aleo-wall-mount-bathroom-sink-faucet-with-lever-handle-40-9-lpm-21969in-4nd?skuId=21969IN-4ND-BV
21969IN-4ND-BV,21969IN-4ND-RGD,Vibrant Brushed Bronze,RGD,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/aleo-wall-mount-bathroom-sink-faucet-with-lever-handle-40-9-lpm-21969in-4nd?skuId=21969IN-4ND-BV
21969IN-4ND-BV,21969IN-4ND-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/aleo-wall-mount-bathroom-sink-faucet-with-lever-handle-40-9-lpm-21969in-4nd?skuId=21969IN-4ND-BV
34076IN-4ND-CP,34076IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/apt-curv-wall-mount-bathroom-sink-faucet-12-5-lpm-34076in-4nd?skuId=34076IN-4ND-CP
29199IN-4ND-RGD,29199IN-4ND-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/modernlife-edge-wm-lav-faucet-trim-valve-29199in-4nd?skuId=29199IN-4ND-RGD
29199IN-ECH-RGD,29199IN-ECH-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/modernlife-edge-wall-mount-bathroom-sink-faucet-with-decorative-handle-7-6-lpm-29199in-ech?skuId=29199IN-ECH-RGD
EX27102T-4-2MB,EX27102T-4-2MB,Vibrant Brushed Moderne Brass,,Vibrant Brushed Moderne Brass,,,https://www.kohler.co.in/p/occasion-wall-mount-single-handle-bathroom-sink-faucet-8-3-lpm-ex27102t-4?skuId=EX27102T-4-2MB
EX27102T-4-2MB,EX27102T-4-BMB,Vibrant Rose Gold,BMB,Vibrant Rose Gold,,,https://www.kohler.co.in/p/occasion-wall-mount-single-handle-bathroom-sink-faucet-8-3-lpm-ex27102t-4?skuId=EX27102T-4-2MB
EX27102T-4-2MB,EX27102T-4-RGD,Matte Black with Brushed Moderne Brass,RGD,Matte Black with Brushed Moderne Brass,,,https://www.kohler.co.in/p/occasion-wall-mount-single-handle-bathroom-sink-faucet-8-3-lpm-ex27102t-4?skuId=EX27102T-4-2MB
25148IN-4ND-CP,25148IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/beam-wall-mount-cold-only-trim-without-drain-25148in-4nd?skuId=25148IN-4ND-CP
22540IN-4AND-CP,22540IN-4AND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/hone-wall-mount-bathroom-sink-faucet-8-3-lpm-22540in-4and?skuId=22540IN-4AND-CP
22540IN-4AND-CP,22540IN-4AND-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/hone-wall-mount-bathroom-sink-faucet-8-3-lpm-22540in-4and?skuId=22540IN-4AND-CP
33103IN-4ND-CP,33103IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/accliv-wall-mount-single-handle-bathroom-sink-faucet-trim-cold-only-9-0-lpm-33103in-4nd?skuId=33103IN-4ND-CP
33103IN-4ND-CP,33103IN-4ND-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/accliv-wall-mount-single-handle-bathroom-sink-faucet-trim-cold-only-9-0-lpm-33103in-4nd?skuId=33103IN-4ND-CP
27483IN-4ND-CP,27483IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/fore-arc-single-control-wall-mount-lav-faucet-trim-without-drain-27483in-4nd?skuId=27483IN-4ND-CP
27483IN-4ND-CP,27483IN-4ND-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/fore-arc-single-control-wall-mount-lav-faucet-trim-without-drain-27483in-4nd?skuId=27483IN-4ND-CP
27488IN-4ND-CP,27488IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/fore-line-wall-mount-cold-only-trim-assy-27488in-4nd?skuId=27488IN-4ND-CP
27488IN-4ND-CP,27488IN-4ND-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/fore-line-wall-mount-cold-only-trim-assy-27488in-4nd?skuId=27488IN-4ND-CP
27487IN-4ND-CP,27487IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/fore-tri-wall-mount-cold-only-trim-assy-27487in-4nd?skuId=27487IN-4ND-CP
39560IN-ND-CP,39560IN-ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/components-touchless-wall-mount-195-mm-lavatory-faucet-with-kinesis-sensor-technology-1-9-lpm-39560in-nd?skuId=39560IN-ND-CP
26791IN-4ND-CP,26791IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/accliv-wall-mount-single-handle-bathroom-sink-faucet-trim-9-0-lpm-26791in-4nd?skuId=26791IN-4ND-CP
26791IN-4ND-CP,26791IN-4ND-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/accliv-wall-mount-single-handle-bathroom-sink-faucet-trim-9-0-lpm-26791in-4nd?skuId=26791IN-4ND-CP
27489IN-4ND-CP,27489IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/fore-arc-wall-mount-cold-only-trim-assy-27489in-4nd?skuId=27489IN-4ND-CP
27489IN-4ND-CP,27489IN-4ND-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/fore-arc-wall-mount-cold-only-trim-assy-27489in-4nd?skuId=27489IN-4ND-CP
27481IN-4ND-CP,27481IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/fore-tri-single-control-wall-mount-lav-faucet-trim-without-drain-27481in-4nd?skuId=27481IN-4ND-CP
24280IN-4ND-RGD,24280IN-4ND-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/wall-mount-lav-faucet-trim-valve-24280in-4nd?skuId=24280IN-4ND-RGD
24280IN-4ND-RGD,24280IN-4ND-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/wall-mount-lav-faucet-trim-valve-24280in-4nd?skuId=24280IN-4ND-RGD
24280IN-4ND-RGD,24280IN-4ND-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/wall-mount-lav-faucet-trim-valve-24280in-4nd?skuId=24280IN-4ND-RGD
34039IN-4ND-CP,34039IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/apt-flux-wall-mount-bathroom-sink-faucet-12-5-lpm-34039in-4nd?skuId=34039IN-4ND-CP
26048IN-4ND-CP,26048IN-4ND-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/beam-single-control-wall-mount-lav-trim-assembly-26048in-4nd?skuId=26048IN-4ND-CP
29310IN-4ND-AF,29310IN-4ND-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/components-wall-mount-bathroom-sink-faucet-with-row-spout-and-oyl-handle-16-0-lpm-29310in-4nd?skuId=29310IN-4ND-AF
29310IN-4ND-AF,29310IN-4ND-BL,Vibrant Rose Gold,BL,Vibrant Rose Gold,,,https://www.kohler.co.in/p/components-wall-mount-bathroom-sink-faucet-with-row-spout-and-oyl-handle-16-0-lpm-29310in-4nd?skuId=29310IN-4ND-AF
29310IN-4ND-AF,29310IN-4ND-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/components-wall-mount-bathroom-sink-faucet-with-row-spout-and-oyl-handle-16-0-lpm-29310in-4nd?skuId=29310IN-4ND-AF
29310IN-4ND-AF,29310IN-4ND-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/components-wall-mount-bathroom-sink-faucet-with-row-spout-and-oyl-handle-16-0-lpm-29310in-4nd?skuId=29310IN-4ND-AF
