product_code,asset_type,file_format,asset_url,product_url
8670IN-4M-CP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/8670IN-4M.obj,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
8670IN-4M-CP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/8670IN-4M.skp,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
8670IN-4M-CP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/8670IN-4M.3ds,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
8670IN-4M-CP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Faucet-Lavatory-KOHLER-Finial_Traditional-K-8670IN.rfa,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
8670IN-4M-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/8670in_4mpln.dxf,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
8670IN-4M-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/8670in_4mpln.dwg,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
8670IN-4M-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/8670in_4mfrt.dxf,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
8670IN-4M-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/8670in_4mfrt.dwg,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
8670IN-4M-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/8670in_4msde.dxf,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
8670IN-4M-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/8670in_4msde.dwg,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
8670IN-4M-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/8670IN-4M.dxf,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
