parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
8670IN-4M-CP,8670IN-4M-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/finial-widespread-lavatory-faucet-with-lever-handles-and-pop-up-drain-in-polished-chrome-8670in-4m?skuId=8670IN-4M-CP
98068T-3M-CP,98068T-3M-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/artifacts-classic-style-handles-98068t-3m?skuId=98068T-3M-CP
73060T-9GCH-TT,73060T-9GCH-TT,Vibrant Titanium,TT,Vibrant Titanium,,,https://www.kohler.co.in/p/composed-liu-guang-jing-yun-widespread-bathroom-sink-faucet-4-5-lpm-73060t-9gch?skuId=73060T-9GCH-TT
13491T-4-RGD,13491T-4-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/kelston-dual-handle-8-203-mm-lavatory-faucet-13491t-4?skuId=13491T-4-RGD
72758T-CP,72758T-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/artifacts-widespread-lav-faucets-tea-72758t?skuId=72758T-CP
72759T-CP,72759T-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/artifacts-widespread-lav-faucets-bell-72759t?skuId=72759T-CP
72759T-CP,72759T-BN,Vibrant Brushed Nickel,BN,Vibrant Brushed Nickel,,,https://www.kohler.co.in/p/artifacts-widespread-lav-faucets-bell-72759t?skuId=72759T-CP
72759T-CP,72759T-2BZ,Vibrant Brushed Bronze,,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/artifacts-widespread-lav-faucets-bell-72759t?skuId=72759T-CP
72759T-CP,72759T-BV,Oil-Rubbed Bronze,BV,Oil-Rubbed Bronze,,,https://www.kohler.co.in/p/artifacts-widespread-lav-faucets-bell-72759t?skuId=72759T-CP
72760T-CP,72760T-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/artifacts-widespread-bathroom-sink-faucets-72760t?skuId=72760T-CP
72760T-CP,72760T-2BZ,Vibrant Brushed Nickel,,Vibrant Brushed Nickel,,,https://www.kohler.co.in/p/artifacts-widespread-bathroom-sink-faucets-72760t?skuId=72760T-CP
72760T-CP,72760T-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/artifacts-widespread-bathroom-sink-faucets-72760t?skuId=72760T-CP
72760T-CP,72760T-BN,Oil-Rubbed Bronze,BN,Oil-Rubbed Bronze,,,https://www.kohler.co.in/p/artifacts-widespread-bathroom-sink-faucets-72760t?skuId=72760T-CP
98068T-9M-CP,98068T-9M-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/artifacts-swing-lever-handles-98068t-9m?skuId=98068T-9M-CP
8670T-4M-AF,8670T-4M-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/finial-r-8-203-mm-widespread-bathroom-sink-faucet-8670t-4m?skuId=8670T-4M-AF
8670T-4M-AF,8670T-4M-R2B,French Gold with Blackened Bronze Handle,,French Gold with Blackened Bronze Handle,,,https://www.kohler.co.in/p/finial-r-8-203-mm-widespread-bathroom-sink-faucet-8670t-4m?skuId=8670T-4M-AF
