product_code,asset_type,file_format,asset_url,product_url
26284IN-AF,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/26284IN.obj,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/26284IN.skp,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/26284IN.3ds,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Shower-Handshower-KOHLER-K-26284IN.rfa,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26284inpln.dxf,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26284inpln.dwg,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26284infrt.dxf,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26284infrt.dwg,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26284insde.dxf,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26284insde.dwg,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26284IN.dxf,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26284IN.dwg,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-26284IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/1430506-IN2.pdf,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
12861IN-ZZ-CP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Shower-Handshower-KOHLER-Citrus-K-12861IN.rfa,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP
12861IN-ZZ-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/12861in_zzpln.dxf,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP
12861IN-ZZ-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/12861in_zzpln.dwg,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP
12861IN-ZZ-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/12861in_zzfrt.dxf,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP
12861IN-ZZ-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/12861in_zzfrt.dwg,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP
