parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
26284IN-AF,26284IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,26284IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,26284IN-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,26284IN-CP,Vibrant Brushed Bronze,CP,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
26284IN-AF,26284IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF
12861IN-ZZ-CP,12861IN-ZZ-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP
16359IN-A-CP,16359IN-A-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP
24717IN-CP,24717IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/handshower-without-hose-24717in?skuId=24717IN-CP
24717IN-CP,24717IN-BV,Vibrant French Gold,BV,Vibrant French Gold,,,https://www.kohler.co.in/p/handshower-without-hose-24717in?skuId=24717IN-CP
24717IN-CP,24717IN-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/handshower-without-hose-24717in?skuId=24717IN-CP
24717IN-CP,24717IN-AF,Vibrant Brushed Bronze,AF,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/handshower-without-hose-24717in?skuId=24717IN-CP
24717IN-CP,24717IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/handshower-without-hose-24717in?skuId=24717IN-CP
72421IN-CP,72421IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/awaken-organic-multi-mode-handshower-with-hose-72421in?skuId=72421IN-CP
98445IN-CP,98445IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/spatula-square-single-function-handshower-13-0-lpm-98445in?skuId=98445IN-CP
98445IN-CP,98445IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/spatula-square-single-function-handshower-13-0-lpm-98445in?skuId=98445IN-CP
98445IN-CP,98445IN-AF,Vibrant Brushed Bronze,AF,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/spatula-square-single-function-handshower-13-0-lpm-98445in?skuId=98445IN-CP
98445IN-CP,98445IN-BV,Matte Black,BV,Matte Black,,,https://www.kohler.co.in/p/spatula-square-single-function-handshower-13-0-lpm-98445in?skuId=98445IN-CP
98445IN-CP,98445IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/spatula-square-single-function-handshower-13-0-lpm-98445in?skuId=98445IN-CP
98444IN-CP,98444IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/eo-single-function-small-handshower-with-hose-98444in?skuId=98444IN-CP
28695IN-CP,28695IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-28695in?skuId=28695IN-CP
28695IN-CP,28695IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-28695in?skuId=28695IN-CP
28695IN-CP,28695IN-AF,Vibrant Rose Gold,AF,Vibrant Rose Gold,,,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-28695in?skuId=28695IN-CP
28695IN-CP,28695IN-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-28695in?skuId=28695IN-CP
28695IN-CP,28695IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-28695in?skuId=28695IN-CP
28585IN-0,28585IN-0,White,0,White,,,https://www.kohler.co.in/p/switch-multimode-handshower-without-hose-white-28585in?skuId=28585IN-0
97009IN-CP,97009IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/rainduet-square-handshower-w-o-hose-97009in?skuId=97009IN-CP
