product_code,asset_type,file_format,asset_url,product_url
26855IN-CP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/26855IN.obj,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/26855IN.skp,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/26855IN.3ds,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Shower-Showerhead-KOHLER-Dual_Core-K-26855IN.rfa,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26855inpln.dxf,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26855inpln.dwg,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26855infrt.dxf,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26855infrt.dwg,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26855insde.dxf,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26855insde.dwg,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26855IN.dxf,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26855IN.dwg,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-26855IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/1508929-IN2.pdf,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
73199IN-CP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/73199IN.obj,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/73199IN.skp,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/73199IN.3ds,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Shower-Showerhead-KOHLER-Katalyst-K-73199IN.rfa,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/73199inpln.dxf,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/73199inpln.dwg,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/73199infrt.dxf,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/73199infrt.dwg,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/73199insde.dxf,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/73199insde.dwg,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/73199IN.dxf,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/73199IN.dwg,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
73199IN-CP,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-73199IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
26856IN-CP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/26856IN.obj,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/26856IN.skp,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/26856IN.3ds,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Shower-Rainhead-KOHLER-Rain_Max-K-26856IN.rfa,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Shower-Showerhead-KOHLER-Dual_Core-K-26856IN.rfa,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26856inpln.dxf,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26856inpln.dwg,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26856infrt.dxf,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26856infrt.dwg,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26856insde.dxf,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26856insde.dwg,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/26856IN.dxf,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/26856IN.dwg,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-26856IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
