product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
26855IN-CP,"Rain Max Square 25.4 cm single-function rainhead, 22 lpm",Rain Max,26855IN,Showering Area,Rainheads,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP,15699.0,,,INR,"Square 25.4 cm single-function rainhead, 22 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Ceiling- or wall-mount; Requires rainhead arm and flange (sold separately),,1 SHOWERHEAD; 1 FLOW REGULATOR; 1 KEY; 1 INSTALLATION GUIDE; 1 WARRANTY CARD; None,"Single-function rainhead; Dual core technology showcases unique synchronized flow of deep core and rain converge spray experiences; Inner deep core spray creates deluge of intense drenching; Outer rain converge spray features visually stunning lattice pattern; Includes key to help remove inner sprayface for easy routine cleaning; Outer sprayface features MasterClean™, an easy-to-clean surface that withstands mineral buildup; 22.0 lpm (5.5 gpm) maximum flow rate at 3.0 bar (43.5 psi); Available in a range of dazzling finishes",inRiver_559635; inRiver_559628; inRiver_2492049; inRiver_2371559; inRiver_877874,,,https://techcomm.kohler.com/techcomm/pdf/K-26855IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainheads,False,
73199IN-CP,"Rainduet® Contemporary square 20 cm single-function rainhead, 8.7 lpm",Rainduet™,73199IN,Showering Area,Rainheads,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP,5889.0,,,INR,"Contemporary square 20 cm single-function rainhead, 8.7 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 (13 mm) inlet connection; Ceiling- or wall-mount,,1 DOUBLE ROBE HOOK;1 SHOWERHEAD; 1 FLOW REGULATOR;1 INSTALLATION GUIDE & 1 WARRANTY CARD; None,Unique square 7.87 inch (20 cm) single-function rainhead creates a modern look; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; 8.7 lpm (2.3 gpm) maximum flow rate at 3.0 bar (43.5 psi),inRiver_559628; inRiver_558250; inRiver_559635,,,https://techcomm.kohler.com/techcomm/pdf/K-73199IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainheads,False,
26856IN-CP,"Rain Max Square 30.5 cm single-function rainhead, 22 lpm",Rain Max,26856IN,Showering Area,Rainheads,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP,18859.0,,,INR,"Square 30.5 cm single-function rainhead, 22 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Ceiling- or wall-mount; Requires rainhead arm and flange (sold separately),,1 SHOWERHEAD; 1 FLOW REGULATOR; 1 KEY; 1 INSTALLATION GUIDE; 1 WARRANTY CARD; None,"Single-function rainhead; Dual core technology showcases unique synchronized flow of deep core and rain converge spray experiences; Inner deep core spray creates deluge of intense drenching; Outer rain converge spray features visually stunning lattice pattern; Includes key to help remove inner sprayface for easy routine cleaning; Outer sprayface features MasterClean™, an easy-to-clean surface that withstands mineral buildup; 22.0 lpm (5.5 gpm) maximum flow rate at 3.0 bar (43.5 psi); Available in a range of dazzling finishes",inRiver_559635; inRiver_559628; inRiver_2492049; inRiver_2371559; inRiver_877874,,,https://techcomm.kohler.com/techcomm/pdf/K-26856IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainheads,False,
73198IN-CP,"Rainduet® Round 20.3 cm rainhead, 9.0 lpm",Rainduet™,73198IN,Showering Area,Rainheads,https://www.kohler.co.in/p/203mm-round-katalyst-tm-rainhead-73198in?skuId=73198IN-CP,5459.0,,,INR,"Round 20.3 cm rainhead, 9.0 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 connection; Ceiling-mount,,"1 SHOWERHEAD, 1 FLOW REGULATOR, 1 INSTALLATION GUIDE & 1 WARRANTY CARD.; None",Single-function rainhead; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; Adjustable swivel ball joint allows for precise spray adjustment; 2.4 gpm (9.0 lpm) maximum flow rate at 43.5 psi (3.0 bar) with flow regulator; Requires ceiling-mount rainhead arm and flange (sold separately),inRiver_559628; inRiver_558250; inRiver_559635,,,https://techcomm.kohler.com/techcomm/pdf/K-73198IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainheads,False,
73040IN-CL-CP,"Rainduet® Edge Square 25.4 cm single-function rainhead, 9.5 lpm",Rainduet™ Edge,73040IN-CL,Showering Area,Rainheads,https://www.kohler.co.in/p/rainduet-edge-square-254-mm-single-function-rainhead-9-5-lpm-73040in-cl?skuId=73040IN-CL-CP,12379.0,,,INR,"Square 25.4 cm single-function rainhead, 9.5 lpm",Polished Chrome,CP,Stainless steel construction; KOHLER finishes resist corrosion and tarnishing,Ceiling- or wall-mount,,1-RAIN HEAD;1-WARRANTY; 1-INSTALLATION MANUAL; None,Single-function rainhead; Ultra-slim design; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface and large nozzles for improved water coverage; Flexible spray nozzles are easy to clean; Self-leveling ball joint keeps rainhead parallel to the ground for steady coverage; 2.5 gpm (9.5 lpm) maximum flow rate at 80 psi (5.5 bar),,,,https://techcomm.kohler.com/techcomm/pdf/K-73040IN-CL_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainheads,False,
73038IN-CL-CP,"Rainduet® Edge Square 20.3 cm single-function rainhead, 9.5 lpm",Rainduet™ Edge,73038IN-CL,Showering Area,Rainheads,https://www.kohler.co.in/p/rain-duet-edge-square-203-mm-single-function-rainhead-73038in-cl?skuId=73038IN-CL-CP,8929.0,,,INR,"Square 20.3 cm single-function rainhead, 9.5 lpm",Polished Chrome,CP,Stainless steel construction; KOHLER finishes resist corrosion and tarnishing,Ceiling- or wall-mount,,1-RAIN HEAD;1-WARRANTY; 1-INSTALLATION MANUAL; None,Single-function rainhead; Ultra-slim design; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface and large nozzles for improved water coverage; Flexible spray nozzles are easy to clean; Self-leveling ball joint keeps rainhead parallel to the ground for steady coverage; 2.5 gpm (9.5 lpm) maximum flow rate at 80 psi (5.5 bar),,,,https://techcomm.kohler.com/techcomm/pdf/K-73038IN-CL_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainheads,False,
18361IN-CL-AF,Rainduet Square 25.4 cm Rainhead,Rainduet,18361IN-CL,Showering Area,Rainheads,https://www.kohler.co.in/p/rainduet-square-254mm-rainhead-18361in-cl?skuId=18361IN-CL-AF,27299.0,,,INR,"Square 25.4 cm Rainhead
",Vibrant French Gold,AF,,,,"1 RAIN HEAD;
1 INSTALLATION GUIDE;1 WARRANTY CARD; None",Superior spray performance with Katalyst air-induction spray technology delivers a luxurious and drenching “rain” experience.; Comes in a variety of designs to provide you with more choices in creating your personalized bathroom space.; Bronze body and polished chrome surface helps ensure long-lasting durability.,inRiver_559628,,,,False,https://www.kohler.co.in/p/showers/shop-rainheads,False,
27731IN-CP,"ModernLife™ Rectangular 33.5 cm x 22 cm single-function rainhead, 9.0 lpm",ModernLife™,27731IN,Showering Area,Rainheads,https://www.kohler.co.in/p/modernlife-flow-330x230mm-rainhead-27731in?skuId=27731IN-CP,21839.0,,,INR,"Rectangular 33.5 cm x 22 cm single-function rainhead, 9.0 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Ceiling- or wall-mount; G 1/2 (13 mm) inlet connection,,"1 SHOWERHEAD, 1 INSTALLATION INSTRUCTION & 1 WARRANTY CARD; None","Sleek contemporary design; Single-function rectangular rainhead features Full Coverage with Katalyst™ air-induction technology, a drenching spray experience ideal for rinsing shampoo from hair; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; Self-leveling ball joint keeps rainhead parallel to the ground for steady coverage; 9.0 lpm (2.38 gpm) maximum flow rate at 3.0 bar (43.5 psi)",inRiver_1336470; inRiver_1336469,,,https://techcomm.kohler.com/techcomm/pdf/K-27731IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainheads,False,
26294IN-AF,"Statement™ Oblong 35.3 cm single-function rainhead, 9.5 lpm",Statement™,26294IN,Showering Area,Rainheads,https://www.kohler.co.in/p/statement-oblong-353-mm-single-function-rainhead-9-5-lpm-26294in?skuId=26294IN-AF,41839.0,,,INR,"Oblong 35.3 cm single-function rainhead, 9.5 lpm",Polished Chrome,AF,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 inlet connection; Requires single-function rainhead shower arm and flange (sold separately),,1 RAINHEAD;1 FLOW REGULATOR;1 INSTALLATION GUIDE & 1 WARRANTY CARD; None,"Single-function oblong rainhead features Full Coverage with Katalyst technology, a drenching spray experience ideal for rinsing shampoo from hair; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; 2.5 gpm (9.5 lpm) maximum flow rate at 45 psi (3.1 bar)",inRiver_559628; inRiver_559635; inRiver_558250,,,https://techcomm.kohler.com/techcomm/pdf/K-26294IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainheads,False,
26294T-2MB,"Statement™ Oblong 35.3 cm single-function rainhead, 9.5 lpm",Statement™,26294T,Showering Area,Rainheads,https://www.kohler.co.in/p/statement-oblong-353-mm-single-function-rainhead-9-5-lpm-26294t?skuId=26294T-2MB,83500.0,,,INR,"Oblong 35.3 cm single-function rainhead, 9.5 lpm",Vibrant Brushed Moderne Brass,,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 inlet connection; Requires single-function rainhead shower arm and flange (sold separately),,"1 STATEMENT™ 1F 14"" OBLONG RAINHEAD, 1 CERT. OF MAINTENANCE; None","Single-function oblong rainhead features Full Coverage with Katalyst technology, a drenching spray experience ideal for rinsing shampoo from hair; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance",,,,https://techcomm.kohler.com/techcomm/pdf/K-26294T_spec_AP_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainheads,False,
