parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
26855IN-CP,26855IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,26855IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,26855IN-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,26855IN-CP,Vibrant Brushed Bronze,CP,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,26855IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,26855IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
73199IN-CP,73199IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
26856IN-CP,26856IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,26856IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,26856IN-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
