product_code,asset_type,file_format,asset_url,product_url
29959IN-AF,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/29959IN.obj,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/29959IN.skp,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/29959IN.3ds,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Shower-Rainhead-KOHLER-ML_Edge-K-29959IN.rfa,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/29959inpln.dxf,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/29959inpln.dwg,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/29959infrt.dxf,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/29959infrt.dwg,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/29959insde.dxf,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/29959insde.dwg,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/29959IN.dxf,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/29959IN.dwg,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-29959IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/1461967-IN2.pdf,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29961IN-CP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/29961IN.obj,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/29961IN.skp,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/29961IN.3ds,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Shower-Ceiling_Mount_Showerhead-KOHLER-ML_EDGE-K-29961IN.rfa,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/29961inpln.dxf,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/29961inpln.dwg,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/29961infrt.dxf,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/29961infrt.dwg,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/29961insde.dxf,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/29961insde.dwg,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/29961IN.dxf,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
