parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
29959IN-AF,29959IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,29959IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,29959IN-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,29959IN-CP,Vibrant Brushed Bronze,CP,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29959IN-AF,29959IN-BV,Matte Black,BV,Matte Black,,,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF
29961IN-CP,29961IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,29961IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,29961IN-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,29961IN-RGD,Vibrant Brushed Bronze,RGD,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
29961IN-CP,29961IN-BL,Matte Black,BL,Matte Black,,,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP
72830IN-L-CP,72830IN-L-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/beitou-rainpanel-500x500-multifunction-rainpanel-in-polished-chrome-72830in-l?skuId=72830IN-L-CP
72830IN-L-CP,72830IN-L-BL,Matte Black,BL,Matte Black,,,https://www.kohler.co.in/p/beitou-rainpanel-500x500-multifunction-rainpanel-in-polished-chrome-72830in-l?skuId=72830IN-L-CP
97167IN-CP,97167IN-BL,Polished Chrome,BL,Polished Chrome,,,https://www.kohler.co.in/p/loure-shower-panel-97167in?skuId=97167IN-CP
97167IN-CP,97167IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/loure-shower-panel-97167in?skuId=97167IN-CP
97167IN-CP,97167IN-CP,Matte Black,CP,Matte Black,,,https://www.kohler.co.in/p/loure-shower-panel-97167in?skuId=97167IN-CP
97168IN-BL,97168IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/loure-rectangular-800-mm-x-600-mm-four-function-overhead-shower-panel-11-8-lpm-36-0-lpm-97168in?skuId=97168IN-BL
97168IN-BL,97168IN-AF,Matte Black,AF,Matte Black,,,https://www.kohler.co.in/p/loure-rectangular-800-mm-x-600-mm-four-function-overhead-shower-panel-11-8-lpm-36-0-lpm-97168in?skuId=97168IN-BL
