parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
704796IN-2BL,704796IN-2BL,Black,,Black,,,https://www.kohler.co.in/p/new-trilogy-2061-mm-h-pivot-shower-door-with-8-mm-or-10-mm-thick-glass-704796in?skuId=704796IN-2BL
708067IN-CP,708067IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/singulier-2000-mm-2100-mm-h-pivot-shower-door-with-8-mm-thick-glass-708067in?skuId=708067IN-CP
708067IN-CP,708067IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/singulier-2000-mm-2100-mm-h-pivot-shower-door-with-8-mm-thick-glass-708067in?skuId=708067IN-CP
708067IN-CP,708067IN-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/singulier-2000-mm-2100-mm-h-pivot-shower-door-with-8-mm-thick-glass-708067in?skuId=708067IN-CP
708067IN-CP,708067IN-RGD,Vibrant Brushed Bronze,RGD,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/singulier-2000-mm-2100-mm-h-pivot-shower-door-with-8-mm-thick-glass-708067in?skuId=708067IN-CP
708066IN-CP,708066IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/singulier-1d2p-s-708066in?skuId=708066IN-CP
708066IN-CP,708066IN-BV,Vibrant French Gold,BV,Vibrant French Gold,,,https://www.kohler.co.in/p/singulier-1d2p-s-708066in?skuId=708066IN-CP
708066IN-CP,708066IN-AF,Vibrant Rose Gold,AF,Vibrant Rose Gold,,,https://www.kohler.co.in/p/singulier-1d2p-s-708066in?skuId=708066IN-CP
708066IN-CP,708066IN-RGD,Vibrant Brushed Bronze,RGD,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/singulier-1d2p-s-708066in?skuId=708066IN-CP
708065IN-CP,708065IN-BV,Polished Chrome,BV,Polished Chrome,,,https://www.kohler.co.in/p/singulier-1d1p-s-708065in?skuId=708065IN-CP
708065IN-CP,708065IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/singulier-1d1p-s-708065in?skuId=708065IN-CP
708065IN-CP,708065IN-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/singulier-1d1p-s-708065in?skuId=708065IN-CP
708065IN-CP,708065IN-CP,Vibrant Brushed Bronze,CP,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/singulier-1d1p-s-708065in?skuId=708065IN-CP
704699IN-SHP,704699IN-SHP,Bright Polished Silver,SHP,Bright Polished Silver,,,https://www.kohler.co.in/p/new-trilogy-2000-mm-2161-mm-h-pivot-shower-door-with-8-mm-thick-glass-704699in?skuId=704699IN-SHP
704698IN-SHP,704698IN-SHP,Bright Polished Silver,SHP,Bright Polished Silver,,,https://www.kohler.co.in/p/new-trilogy-2000-h-pivot-shower-door-with-8-mm-thick-glass-704698in?skuId=704698IN-SHP
704702IN-SHP,704702IN-SHP,Bright Polished Silver,SHP,Bright Polished Silver,,,https://www.kohler.co.in/p/new-trilogy-2d3p-t-shape-10mm-in-704702in?skuId=704702IN-SHP
