product_code,asset_type,file_format,asset_url,product_url
39059IN-SHP,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/39059IN.obj,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/39059IN.skp,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/39059IN.3ds,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Shower-Shower_Door-KOHLER-Elate-K-39059IN.rfa,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/39059inpln.dxf,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/39059inpln.dwg,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/39059infrt.dxf,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/39059infrt.dwg,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/39059insde.dxf,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/39059insde.dwg,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/39059IN.dxf,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/39059IN.dwg,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-39059IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
39059IN-SHP,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/1640150-IN2.pdf,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
