parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
39059IN-SHP,39059IN-SHP,Bright Polished Silver,SHP,Bright Polished Silver,,,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39059in?skuId=39059IN-SHP
709076IN-CP,709076IN-CP,Bright Polished Silver,CP,Bright Polished Silver,,,https://www.kohler.co.in/p/big-w-knob-709076in?skuId=709076IN-CP
709075IN-CP,709075IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/new-levity-small-w-knob-709075in?skuId=709075IN-CP
702650IN-LH0-BL,702650IN-LH0-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/brazn-2200-mm-h-sliding-shower-door-with-10-mm-thick-glass-702650in-lh0?skuId=702650IN-LH0-BL
702650IN-LH0-BL,702650IN-LH0-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/brazn-2200-mm-h-sliding-shower-door-with-10-mm-thick-glass-702650in-lh0?skuId=702650IN-LH0-BL
702650IN-LH0-BL,702650IN-LH0-AF,Matte Black,AF,Matte Black,,,https://www.kohler.co.in/p/brazn-2200-mm-h-sliding-shower-door-with-10-mm-thick-glass-702650in-lh0?skuId=702650IN-LH0-BL
39061IN-SHP,39061IN-SHP,Bright Polished Silver,SHP,Bright Polished Silver,,,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39061in?skuId=39061IN-SHP
705116IN-SHP,705116IN-SHP,Bright Polished Silver,SHP,Bright Polished Silver,,,https://www.kohler.co.in/p/contra-big-ht-2000mm-705116in?skuId=705116IN-SHP
39259IN-SHP,39259IN-SHP,Bright Polished Silver,SHP,Bright Polished Silver,,,https://www.kohler.co.in/p/elate-2000-mm-h-sliding-shower-door-with-8-mm-thick-glass-39259in?skuId=39259IN-SHP
705115IN-SHP,705115IN-SHP,Bright Polished Silver,SHP,Bright Polished Silver,,,https://www.kohler.co.in/p/contra-2000-mm-2100-mm-h-sliding-shower-door-with-8-mm-thick-glass-705115in?skuId=705115IN-SHP
