product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
27724IN-CP,"Rainduet® Five-function filtered showerhead, 12.0 lpm",Rainduet™,27724IN,Showering Area,Showerheads,https://www.kohler.co.in/p/kohler-rain-duet-filter-shower-with-activated-charcoal-and-5-showering-modes-27724in?skuId=27724IN-CP,3119.0,,,INR,"Five-function filtered showerhead, 12.0 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Shower arm and flange sold separately,,"1 RAINDUET SHOWERHEAD, 1CARTRIDGE, 1 FLOW REGULATOR KIT, 1 INSTALLATION GUIDE & 1 WARRANTY CARD; None","Versatile, contemporary design; Multifunction showerhead delivers five alternate spray experiences: relaxing rain, focused, pulsating massage, and two combination sprays; Relaxing rain delivers a drenching spray experience, ideal for rinsing shampoo from hair; Pulsating massage spray targets sore muscles to ease away aches and pains; Focused spray targets sore muscles and can also be used as a utility spray; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; Five-layer filtration system reduces scale buildup in your shower and includes an activated carbon filter to reduce impurities such as chlorine and heavy metals; Recommend replacing filter every six months for optimum performance; Filter easily slides out with a 30° turn of the sprayface; 5 inch (12.6 cm) diameter sprayface; Thumb tab allows for a smooth transition between sprays; 3.16 gpm (12.0 lpm) maximum flow rate at 43.5 psi (3.0 bar)",inRiver_1337905,,,https://techcomm.kohler.com/techcomm/pdf/K-27724IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-showerheads,False,
26290IN-CP,"Statement™ Oblong three-function 20.2 cm showerhead, 9.5 lpm",Statement™,26290IN,Showering Area,Showerheads,https://www.kohler.co.in/p/statement-three-function-showerhead-9-5-lpm-26290in?skuId=26290IN-CP,6799.0,,,INR,"Oblong three-function 20.2 cm showerhead, 9.5 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 inlet connection; Wall-mount; Shower arm and flange sold separately,,1 SHOWERHEAD;1 FLOW REGULATOR;1 INSTALLATION GUIDE & 1 WARRANTY CARD; None,"Multifunction showerhead with advanced spray engine provides three spray experiences: Full Coverage with Katalyst technology, Deep Massage, and Cloud; Full Coverage with Katalyst technology delivers a drenching spray experience, ideal for rinsing shampoo from hair; oblong shape targets shoulders; Deep Massage streams twist and swirl, targeting sore muscles to ease away aches and pains; Cloud spray experience restores with a thick cloud of silky, super-fine water droplets; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; 2.5 gpm (9.5 lpm) maximum flow rate at 45 psi (3.1 bar)",inRiver_559461; inRiver_1482720; inRiver_1337905,,,https://techcomm.kohler.com/techcomm/pdf/K-26290IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-showerheads,False,
26855IN-CP,"Rain Max Square 25.4 cm single-function rainhead, 22 lpm",Rain Max,26855IN,Showering Area,Showerheads,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP,15699.0,,,INR,"Square 25.4 cm single-function rainhead, 22 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Ceiling- or wall-mount; Requires rainhead arm and flange (sold separately),,1 SHOWERHEAD; 1 FLOW REGULATOR; 1 KEY; 1 INSTALLATION GUIDE; 1 WARRANTY CARD; None,"Single-function rainhead; Dual core technology showcases unique synchronized flow of deep core and rain converge spray experiences; Inner deep core spray creates deluge of intense drenching; Outer rain converge spray features visually stunning lattice pattern; Includes key to help remove inner sprayface for easy routine cleaning; Outer sprayface features MasterClean™, an easy-to-clean surface that withstands mineral buildup; 22.0 lpm (5.5 gpm) maximum flow rate at 3.0 bar (43.5 psi); Available in a range of dazzling finishes",inRiver_559635; inRiver_559628; inRiver_2492049; inRiver_2371559; inRiver_877874,,,https://techcomm.kohler.com/techcomm/pdf/K-26855IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-showerheads,False,
73199IN-CP,"Rainduet® Contemporary square 20 cm single-function rainhead, 8.7 lpm",Rainduet™,73199IN,Showering Area,Showerheads,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP,5889.0,,,INR,"Contemporary square 20 cm single-function rainhead, 8.7 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 (13 mm) inlet connection; Ceiling- or wall-mount,,1 DOUBLE ROBE HOOK;1 SHOWERHEAD; 1 FLOW REGULATOR;1 INSTALLATION GUIDE & 1 WARRANTY CARD; None,Unique square 7.87 inch (20 cm) single-function rainhead creates a modern look; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; 8.7 lpm (2.3 gpm) maximum flow rate at 3.0 bar (43.5 psi),inRiver_559628; inRiver_558250; inRiver_559635,,,https://techcomm.kohler.com/techcomm/pdf/K-73199IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-showerheads,False,
26856IN-CP,"Rain Max Square 30.5 cm single-function rainhead, 22 lpm",Rain Max,26856IN,Showering Area,Showerheads,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP,18859.0,,,INR,"Square 30.5 cm single-function rainhead, 22 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Ceiling- or wall-mount; Requires rainhead arm and flange (sold separately),,1 SHOWERHEAD; 1 FLOW REGULATOR; 1 KEY; 1 INSTALLATION GUIDE; 1 WARRANTY CARD; None,"Single-function rainhead; Dual core technology showcases unique synchronized flow of deep core and rain converge spray experiences; Inner deep core spray creates deluge of intense drenching; Outer rain converge spray features visually stunning lattice pattern; Includes key to help remove inner sprayface for easy routine cleaning; Outer sprayface features MasterClean™, an easy-to-clean surface that withstands mineral buildup; 22.0 lpm (5.5 gpm) maximum flow rate at 3.0 bar (43.5 psi); Available in a range of dazzling finishes",inRiver_559635; inRiver_559628; inRiver_2492049; inRiver_2371559; inRiver_877874,,,https://techcomm.kohler.com/techcomm/pdf/K-26856IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-showerheads,False,
26853IN-CP,"Rainduet® Five-function showerhead, 14.0 lpm",Rainduet™,26853IN,Showering Area,Showerheads,https://www.kohler.co.in/p/rainduet-five-function-showerhead-14-0-lpm-26853in?skuId=26853IN-CP,1659.0,,,INR,"Five-function showerhead, 14.0 lpm",Polished Chrome,CP,Premium material construction for lasting durability; KOHLER finishes resist corrosion and tarnishing,Wall-mount; G 1/2 inlet connection; Shower arm and flange sold separately,,1 SHOWERHEAD; 1 FLOW REGULATOR; 1 INSTALLATION GUIDE; 1WARRANTY CARD; None,"Advanced spray engine provides five alternate experiences: full coverage, powerful massage, gentle mist, and two combination sprays; Full coverage spray produces an encompassing spray ideal for everyday use; Powerful massage spray is a focused stream that targets sore muscles, or use as a utility spray to rinse kids, pets, and your shower; Gentle mist spray restores, with a thick cloud of silky, super-fine water droplets; Combination spray of powerful massage and full coverage delivers a warm, targeted stream combined with a full spray; Combination spray of mist and full coverage delivers a gentle, encompassing spray ideal for everyday use; Simple thumb tab smoothly transitions between sprays; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Adjustable swivel ball joint allows for precise spray adjustment; 14.0 lpm (3.69 gpm) maximum flow rate at 3.0 bar (43.5 psi)",inRiver_1337905,,,https://techcomm.kohler.com/techcomm/pdf/K-26853IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-showerheads,False,
24547IN-CP,"Daisyfield™ Multifunction showerhead, 9.6 lpm",Daisyfield™,24547IN,Showering Area,Showerheads,https://www.kohler.co.in/p/daisyfield-multifunction-showerhead-9-6-lpm-24547in?skuId=24547IN-CP,1559.0,,,INR,"Multifunction showerhead, 9.6 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 inlet connection; No-tool installation -- installs in minutes; Shower arm and flange sold separately,,1 SHOWERHEAD; 1 FLOW REGULATOR; 1 INSTALLATION GUIDE; 1WARRANTY CARD; None,"Advanced spray engine provides five spray experiences: full coverage, intense rinse, and powerful massage, two combination sprays, plus pause feature; Full coverage spray produces an encompassing spray ideal for everyday use; Powerful massage spray is a focused stream that targets sore muscles, or use as a utility spray to rinse kids, pets, and your shower; Intense rinse delivers a forceful spray ideal for thoroughly rinsing soap from hair; Combination spray of powerful massage and full coverage delivers a warm, targeted stream combined with a full spray; Combination spray of intense rinse and full coverage delivers a forceful, encompassing spray ideal for everyday use; Pause feature temporarily pauses water flow to conserve water while you lather, shave, or shampoo; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Simple thumb tab smoothly transitions between sprays; 2.6 gpm (9.6 lpm) maximum flow rate at 43.51 psi (3.0 bar); Box includes: Showerhead",inRiver_1337905,,,https://techcomm.kohler.com/techcomm/pdf/K-24547IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-showerheads,False,
73198IN-CP,"Rainduet® Round 20.3 cm rainhead, 9.0 lpm",Rainduet™,73198IN,Showering Area,Showerheads,https://www.kohler.co.in/p/203mm-round-katalyst-tm-rainhead-73198in?skuId=73198IN-CP,5459.0,,,INR,"Round 20.3 cm rainhead, 9.0 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 connection; Ceiling-mount,,"1 SHOWERHEAD, 1 FLOW REGULATOR, 1 INSTALLATION GUIDE & 1 WARRANTY CARD.; None",Single-function rainhead; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; Adjustable swivel ball joint allows for precise spray adjustment; 2.4 gpm (9.0 lpm) maximum flow rate at 43.5 psi (3.0 bar) with flow regulator; Requires ceiling-mount rainhead arm and flange (sold separately),inRiver_559628; inRiver_558250; inRiver_559635,,,https://techcomm.kohler.com/techcomm/pdf/K-73198IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-showerheads,False,
22645IN-CP,"Parallel™ Square 12.7 cm single-function showerhead, 9.0 lpm",Parallel,22645IN,Showering Area,Showerheads,https://www.kohler.co.in/p/parallel-square-127-mm-single-function-showerhead-9-0-lpm-22645in?skuId=22645IN-CP,3599.0,,,INR,"Square 12.7 cm single-function showerhead, 9.0 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 connection; Wall-mount,,1 SHOWER HEAD;1 ESCUTCHEON; 1 SHOWER ARM;1 INSTALLATION INSTRUCTION;1 WARRANTY CARD; None,Single-function showerhead; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; Adjustable swivel ball joint allows for precise spray adjustment; Includes shower arm and flange; 9.0 lpm (2.38 gpm) maximum flow rate at 3.0 bar (43.5 psi); Coordinates with other products in the Parallel collection,,,,https://techcomm.kohler.com/techcomm/pdf/K-22645IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-showerheads,False,
16356IN-A-AF,"Complementary™ Single-function showerhead, 23.0 lpm",Complementary™,16356IN-A,Showering Area,Showerheads,https://www.kohler.co.in/p/sf-showerhead-with-arm-escutcheon-16356in-a?skuId=16356IN-A-AF,2899.0,,,INR,"Single-function showerhead, 23.0 lpm",Polished Chrome,AF,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,G 1/2 connection; Wall-mount,,"1 - WARRANTY CARD;
1 - INSTALLATION GUIDE;
1 - HEADSHOWER; 1 - ESCUTCHEON; 1 - ARM; None","Versatile, contemporary design; Single-function showerhead; Full coverage spray produces an encompassing spray ideal for everyday use; Racetrack waterway ensures performance, delivering a consistent and dependable spray; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; 97 mm (3.8 inch) diameter sprayface; 23.0 lpm (6.1 gpm) maximum flow rate at 3.0 bar (43.5 psi)",,,,https://techcomm.kohler.com/techcomm/pdf/K-16356IN-A_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-showerheads,False,
