parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
27724IN-CP,27724IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/kohler-rain-duet-filter-shower-with-activated-charcoal-and-5-showering-modes-27724in?skuId=27724IN-CP
26290IN-CP,26290IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/statement-three-function-showerhead-9-5-lpm-26290in?skuId=26290IN-CP
26290IN-CP,26290IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/statement-three-function-showerhead-9-5-lpm-26290in?skuId=26290IN-CP
26290IN-CP,26290IN-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/statement-three-function-showerhead-9-5-lpm-26290in?skuId=26290IN-CP
26290IN-CP,26290IN-CP,Vibrant Brushed Bronze,CP,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/statement-three-function-showerhead-9-5-lpm-26290in?skuId=26290IN-CP
26290IN-CP,26290IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/statement-three-function-showerhead-9-5-lpm-26290in?skuId=26290IN-CP
26290IN-CP,26290IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/statement-three-function-showerhead-9-5-lpm-26290in?skuId=26290IN-CP
26855IN-CP,26855IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,26855IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,26855IN-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,26855IN-CP,Vibrant Brushed Bronze,CP,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,26855IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
26855IN-CP,26855IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/rain-max-square-254-mm-single-function-rainhead-22-lpm-26855in?skuId=26855IN-CP
73199IN-CP,73199IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/rainduet-contemporary-square-200-mm-single-function-rainhead-8-7-lpm-73199in?skuId=73199IN-CP
26856IN-CP,26856IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,26856IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,26856IN-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,26856IN-CP,Vibrant Brushed Bronze,CP,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,26856IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,26856IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26853IN-CP,26853IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/rainduet-five-function-showerhead-14-0-lpm-26853in?skuId=26853IN-CP
24547IN-CP,24547IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/daisyfield-multifunction-showerhead-9-6-lpm-24547in?skuId=24547IN-CP
73198IN-CP,73198IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/203mm-round-katalyst-tm-rainhead-73198in?skuId=73198IN-CP
22645IN-CP,22645IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/parallel-square-127-mm-single-function-showerhead-9-0-lpm-22645in?skuId=22645IN-CP
22645IN-CP,22645IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/parallel-square-127-mm-single-function-showerhead-9-0-lpm-22645in?skuId=22645IN-CP
16356IN-A-AF,16356IN-A-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/sf-showerhead-with-arm-escutcheon-16356in-a?skuId=16356IN-A-AF
16356IN-A-AF,16356IN-A-CP,Vibrant French Gold,CP,Vibrant French Gold,,,https://www.kohler.co.in/p/sf-showerhead-with-arm-escutcheon-16356in-a?skuId=16356IN-A-AF
16356IN-A-AF,16356IN-A-BN,Vibrant Brushed Nickel,BN,Vibrant Brushed Nickel,,,https://www.kohler.co.in/p/sf-showerhead-with-arm-escutcheon-16356in-a?skuId=16356IN-A-AF
