product_code,asset_type,file_format,asset_url,product_url
3983IN-S-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/3983IN-S.obj,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/3983IN-S.skp,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/3983IN-S.3ds,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Toilet-Floor_Mount-KOHLER-Reach-K-3983IN.rfa,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/3983in_spln.dxf,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/3983in_spln.dwg,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/3983in_sfrt.dxf,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/3983in_sfrt.dwg,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/3983in_ssde.dxf,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/3983in_ssde.dwg,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/3983IN-S.dxf,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/3983IN-S.dwg,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-3983IN-S_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
3983IN-S-0,Installation,PDF,http://techpubs.kohlerco.com/pdf/1203790-T2_A1.pdf,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
1381T-S-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/1381T-S.obj,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/1381T-S.skp,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/1381T-S.3ds,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Toilet-Floor_Mount-KOHLER-VEIL-K-1381T.rfa,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/1381t_spln.dxf,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/1381t_spln.dwg,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/1381t_sfrt.dxf,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/1381t_sfrt.dwg,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/1381t_ssde.dxf,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/1381t_ssde.dwg,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/1381T-S.dxf,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/1381T-S.dwg,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-1381T-S_spec_CN_Kohler_en.pdf,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-1381T-S_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,Environmental Document,PDF,https://techcomm.kohler.com/techcomm/pdf/1667519-24.pdf,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/1565677434451_K-1381T_K-1382T.pdf,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
1381T-S-0,Parts,PDF,https://techcomm.kohler.com/techcomm/pdf/Service part 1262233-T8-B(1381-1382)-2018-3-21.pdf,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
8688T-S-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/8688T-S.obj,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/8688T-S.skp,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/8688T-S.3ds,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Toilet-Floor_Mount-KOHLER-SAN_RAPHAEL-K-8688T.rfa,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/8688t_spln.dxf,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/8688t_spln.dwg,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/8688t_sfrt.dxf,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/8688t_sfrt.dwg,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/8688t_ssde.dxf,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/8688t_ssde.dwg,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/8688T-S.dxf,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/8688T-S.dwg,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-8688T-S_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/k-8688T.pdf,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
8688T-S-0,Parts,PDF,https://techcomm.kohler.com/techcomm/pdf/8688T_s.pdf,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
29777IN-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/29777IN.obj,https://www.kohler.co.in/p/innate-one-piece-elongated-smart-toilet-dual-flush-29777in?skuId=29777IN-0
29777IN-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/29777IN.skp,https://www.kohler.co.in/p/innate-one-piece-elongated-smart-toilet-dual-flush-29777in?skuId=29777IN-0
29777IN-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/29777IN.3ds,https://www.kohler.co.in/p/innate-one-piece-elongated-smart-toilet-dual-flush-29777in?skuId=29777IN-0
29777IN-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Toilet-Floor_Mount-KOHLER-Innate-K-29777IN.rfa,https://www.kohler.co.in/p/innate-one-piece-elongated-smart-toilet-dual-flush-29777in?skuId=29777IN-0
29777IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/29777inpln.dxf,https://www.kohler.co.in/p/innate-one-piece-elongated-smart-toilet-dual-flush-29777in?skuId=29777IN-0
29777IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/29777inpln.dwg,https://www.kohler.co.in/p/innate-one-piece-elongated-smart-toilet-dual-flush-29777in?skuId=29777IN-0
29777IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/29777infrt.dxf,https://www.kohler.co.in/p/innate-one-piece-elongated-smart-toilet-dual-flush-29777in?skuId=29777IN-0
29777IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/29777infrt.dwg,https://www.kohler.co.in/p/innate-one-piece-elongated-smart-toilet-dual-flush-29777in?skuId=29777IN-0
