product_code,asset_type,file_format,asset_url,product_url
2215IN-2-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/2215IN-2.obj,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2215IN-2-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/2215IN-2.skp,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2215IN-2-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/2215IN-2.3ds,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2215IN-2-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Sink-Undermount-Lavatory-KOHLER-Ladena -K-2215IN.rfa,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2215IN-2-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Sink-Undermount-Lavatory-KOHLER-Ladena-K-2215IN.rfa,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2215IN-2-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/2215IN-2.dxf,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2215IN-2-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/2215IN-2.dwg,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2215IN-2-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-2215IN-2_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2215IN-2-0,Parts,PDF,https://techcomm.kohler.com/techcomm/pdf/1593303-IN8.pdf,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2211IN-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/2211IN.obj,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/2211IN.skp,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/2211IN.3ds,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Sink-Undermount-Lavatory-KOHLER-Caxton-K-2211IN.rfa,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/2211inpln.dxf,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/2211inpln.dwg,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/2211infrt.dxf,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/2211infrt.dwg,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/2211insde.dxf,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/2211insde.dwg,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/2211IN.dxf,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/2211IN.dwg,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-2211IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2211IN-0,Parts,PDF,https://techcomm.kohler.com/techcomm/pdf/1593303-IN8.pdf,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2210IN-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/2210IN.obj,https://www.kohler.co.in/p/caxton-small-undercounter-lavatory-2210in?skuId=2210IN-0
