parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
2215IN-2-0,2215IN-2-0,White,0,White,,,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2215IN-2-0,2215IN-2-7,Black Black,7,Black Black,,,https://www.kohler.co.in/p/ladena-581mm-x-402mm-undercounter-basin-in-white-2215in-2?skuId=2215IN-2-0
2211IN-0,2211IN-0,White,0,White,,,https://www.kohler.co.in/p/caxton-big-undercounter-lavatory-2211in?skuId=2211IN-0
2210IN-0,2210IN-0,White,0,White,,,https://www.kohler.co.in/p/caxton-small-undercounter-lavatory-2210in?skuId=2210IN-0
14008T-RGD-0,14008T-RGD-0,White,0,White,,,https://www.kohler.co.in/p/laureate-under-mount-bathroom-sink-rose-gold-14008t-rgd?skuId=14008T-RGD-0
14008T-PK-0,14008T-PK-0,White,0,White,,,https://www.kohler.co.in/p/laureate-under-mount-bathroom-sink-platinum-14008t-pk?skuId=14008T-PK-0
14008T-PD-0,14008T-PD-0,White,0,White,,,https://www.kohler.co.in/p/laureate-under-mount-bathroom-sink-gold-14008t-pd?skuId=14008T-PD-0
2349IN-FDL-96,2349IN-FDL-96,Biscuit,,Biscuit,,,https://www.kohler.co.in/p/quila-camber-undermount-bathroom-sink-2349in-fdl?skuId=2349IN-FDL-96
2883-0,2883-0,White,0,White,,,https://www.kohler.co.in/p/demilav-verticyl-round-undermount-bathroom-sink-2883?skuId=2883-0
2214IN-0,2214IN-0,White,0,White,,,https://www.kohler.co.in/p/ladena-529-mm-rectangular-undercounter-bathroom-sink-with-glazed-underside-2214in?skuId=2214IN-0
