product_code,asset_type,file_format,asset_url,product_url
21226IN-HP1,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/21226IN.obj,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/21226IN.skp,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/21226IN.3ds,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Sink-Vessel-Lavatory-KOHLER-Modernlife-K-21226IN.rfa,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Sink-Vessel-Lavatory-KOHLER-ModernLife-K-21226IN.zip,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/21226inpln.dxf,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/21226inpln.dwg,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/21226infrt.dxf,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/21226infrt.dwg,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/21226insde.dxf,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/21226insde.dwg,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/21226IN.dxf,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/21226IN.dwg,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-21226IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/21226IN.pdf,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-SS-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/21226IN-SS.obj,https://www.kohler.co.in/p/modernlife-edge-edge-600-vessel-21226in-ss?skuId=21226IN-SS-0
21226IN-SS-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/21226IN-SS.skp,https://www.kohler.co.in/p/modernlife-edge-edge-600-vessel-21226in-ss?skuId=21226IN-SS-0
21226IN-SS-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/21226IN-SS.3ds,https://www.kohler.co.in/p/modernlife-edge-edge-600-vessel-21226in-ss?skuId=21226IN-SS-0
