product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
C98,Vive 54.7 cm oval wash basin with hidden drain in White colour,,,Basin Area,Vessel Basin,https://www.kohler.co.in/p/vive-547-mm-oval-wash-basin-with-hidden-drain-in-white-colour-1?skuId=C98,13228.0,,,INR,,,,,,,None,,inRiver_1730109; inRiver_3086862,,,,False,https://www.kohler.co.in/p/washbasins/shop-vessel-basin,False,
C99,Vive 54.7 cm oval wash basin with hidden drain in Black colour,,,Basin Area,Vessel Basin,https://www.kohler.co.in/p/vive-547-mm-oval-wash-basin-with-hidden-drain-in-black-colour-1?skuId=C99,16508.0,,,INR,,,,,,,None,,inRiver_1730109; inRiver_3086862,,,,False,https://www.kohler.co.in/p/washbasins/shop-vessel-basin,False,
C100,Vive 54.7 cm oval wash basin with hidden drain in Indigo colour,,,Basin Area,Vessel Basin,https://www.kohler.co.in/p/vive-547-mm-oval-wash-basin-with-hidden-drain-in-indigo-colour-1?skuId=C100,16508.0,,,INR,,,,,,,None,,inRiver_1730109; inRiver_3086862,,,,False,https://www.kohler.co.in/p/washbasins/shop-vessel-basin,False,
C101,Vive 55.2 cm rectangular wash basin with hidden drain in White colour,,,Basin Area,Vessel Basin,https://www.kohler.co.in/p/vive-552-mm-rectangular-wash-basin-with-hidden-drain-in-white-colour-1?skuId=C101,14048.0,,,INR,,,,,,,None,,inRiver_1730109; inRiver_3086862,,,,False,https://www.kohler.co.in/p/washbasins/shop-vessel-basin,False,
C102,Vive 55.2 cm rectangular wash basin with hidden drain in Black colour,,,Basin Area,Vessel Basin,https://www.kohler.co.in/p/vive-552-mm-rectangular-wash-basin-with-hidden-drain-in-black-colour-1?skuId=C102,17328.0,,,INR,,,,,,,None,,inRiver_1730109; inRiver_3086862,,,,False,https://www.kohler.co.in/p/washbasins/shop-vessel-basin,False,
C103,Vive 55.2 cm rectangular wash basin with hidden drain in Indigo colour,,,Basin Area,Vessel Basin,https://www.kohler.co.in/p/vive-552-mm-rectangular-wash-basin-with-hidden-drain-in-indigo-colour-1?skuId=C103,17328.0,,,INR,,,,,,,None,,inRiver_1730109; inRiver_3086862,,,,False,https://www.kohler.co.in/p/washbasins/shop-vessel-basin,False,
21226IN-HP1,"ModernLife Edge® 60 cm rectangular vessel bathroom sink, no overflow",ModernLife Edge™,21226IN,Basin Area,Vessel Basin,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1,30399.0,,,INR,"60 cm rectangular vessel bathroom sink, no overflow",Honed Black,,Vitreous china,Vessel,,PACKAGE CONTENT: 1 LAVATORY;1 INSTALLATION TEMPLATE AND 1 WARRANTY CARD; None,Contemporary design makes a modern statement; Rectangular basin with rounded corners; No faucet holes; requires wall- or deck-mount faucet; Without overflow; Part of the ModernLife Edge collection; Faucet and drain sold separately,inRiver_1482653; inRiver_1730109,,,https://techcomm.kohler.com/techcomm/pdf/K-21226IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/washbasins/shop-vessel-basin,False,
21226IN-SS-0,ModernLife® 60 cm Edge Vessel Basin,ModernLife® Edge,21226IN-SS,Basin Area,Vessel Basin,https://www.kohler.co.in/p/modernlife-edge-edge-600-vessel-21226in-ss?skuId=21226IN-SS-0,21599.0,,,INR,60 cm Edge Vessel Basin,White,0,,,,"1 LAVATORY;
1 INSTALLATION TEMPLATE AND
1 WARRANTY CARD; None","A new thin ModernLife Edge vessel, with a 40% thinner edge (6mm); Only drain-cut required, no core cutting needed; Compatible with all Kohler tall faucets & wall-mount faucets; Without overflow channel",inRiver_1482653; inRiver_1730109,,,,True,https://www.kohler.co.in/p/washbasins/shop-vessel-basin,False,
31459IN-0,Span square vessel w/o deck 48x34 cm,Span,31459IN,Basin Area,Vessel Basin,https://www.kohler.co.in/p/span-square-vessel-w-o-deck-480x340mm-31459in?skuId=31459IN-0,5949.0,,,INR,Square vessel w/o deck 48x34 cm,White,0,,,,"1 LAVATORY;
1 INSTALLATION TEMPLATE AND
1 WARRANTY CARD; None",,,,,https://techcomm.kohler.com/techcomm/pdf/1408991-IN4.pdf,True,https://www.kohler.co.in/p/washbasins/shop-vessel-basin,False,
2200IN-0,"Conical Bell™ 41.3 cm round vessel bathroom sink with glazed underside, no overflow",Conical Bell™,2200IN,Basin Area,Vessel Basin,https://www.kohler.co.in/p/conical-bell-413-mm-round-vessel-bathroom-sink-with-glazed-underside-no-overflow-2200in?skuId=2200IN-0,6799.0,,,INR,"41.3 cm round vessel bathroom sink with glazed underside, no overflow",White,0,Vitreous china,Semi-recessed vessel; Drops partially below vanity top; requires countertop cutout,,1 VESSEL; 1 INST.INSTR;1 WARRANTY CARD; None,"Traditional design creates a classic look; Round basin; No faucet holes; requires wall- or tall deck-mount faucet; Center drain, no overflow; Glazed underside offers beauty from all angles",inRiver_1482653; inRiver_1730109,,,https://techcomm.kohler.com/techcomm/pdf/K-2200IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/washbasins/shop-vessel-basin,False,
