parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
C98,C98,,,,,,https://www.kohler.co.in/p/vive-547-mm-oval-wash-basin-with-hidden-drain-in-white-colour-1?skuId=C98
C99,C99,,,,,,https://www.kohler.co.in/p/vive-547-mm-oval-wash-basin-with-hidden-drain-in-black-colour-1?skuId=C99
C100,C100,,,,,,https://www.kohler.co.in/p/vive-547-mm-oval-wash-basin-with-hidden-drain-in-indigo-colour-1?skuId=C100
C101,C101,,,,,,https://www.kohler.co.in/p/vive-552-mm-rectangular-wash-basin-with-hidden-drain-in-white-colour-1?skuId=C101
C102,C102,,,,,,https://www.kohler.co.in/p/vive-552-mm-rectangular-wash-basin-with-hidden-drain-in-black-colour-1?skuId=C102
C103,C103,,,,,,https://www.kohler.co.in/p/vive-552-mm-rectangular-wash-basin-with-hidden-drain-in-indigo-colour-1?skuId=C103
21226IN-HP1,21226IN-HP1,Honed Black,,Honed Black,,,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,21226IN-HG1,Peacock,,Peacock,,,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,21226IN-HB1,Thunder Grey,,Thunder Grey,,,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-HP1,21226IN-HL1,Honed Lush,,Honed Lush,,,https://www.kohler.co.in/p/600mm-edge-vessel-basin-without-faucet-hole-in-thunder-grey-21226in?skuId=21226IN-HP1
21226IN-SS-0,21226IN-SS-0,White,0,White,,,https://www.kohler.co.in/p/modernlife-edge-edge-600-vessel-21226in-ss?skuId=21226IN-SS-0
31459IN-0,31459IN-0,White,0,White,,,https://www.kohler.co.in/p/span-square-vessel-w-o-deck-480x340mm-31459in?skuId=31459IN-0
2200IN-0,2200IN-0,White,0,White,,,https://www.kohler.co.in/p/conical-bell-413-mm-round-vessel-bathroom-sink-with-glazed-underside-no-overflow-2200in?skuId=2200IN-0
2200IN-0,2200IN-7,Cashmere,7,Cashmere,,,https://www.kohler.co.in/p/conical-bell-413-mm-round-vessel-bathroom-sink-with-glazed-underside-no-overflow-2200in?skuId=2200IN-0
2200IN-0,2200IN-K4,Black Black,,Black Black,,,https://www.kohler.co.in/p/conical-bell-413-mm-round-vessel-bathroom-sink-with-glazed-underside-no-overflow-2200in?skuId=2200IN-0
2200IN-0,2200IN-DGS,Indigo,DGS,Indigo,,,https://www.kohler.co.in/p/conical-bell-413-mm-round-vessel-bathroom-sink-with-glazed-underside-no-overflow-2200in?skuId=2200IN-0
5373IN-0,5373IN-0,White,0,White,,,https://www.kohler.co.in/p/forefront-580-mm-rectangular-vessel-bathroom-sink-5373in?skuId=5373IN-0
