product_code,asset_type,file_format,asset_url,product_url
27903IN-WRGD-0,Homeowners Guide,PDF,https://techcomm.kohler.com/techcomm/pdf/1632607-IN5.pdf,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27903in-wrgd?skuId=27903IN-WRGD-0
27903IN-WRGD-0,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/1625013-IN2.pdf,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27903in-wrgd?skuId=27903IN-WRGD-0
27903IN-WRGD-0,Parts,PDF,https://techcomm.kohler.com/techcomm/pdf/1434774-IN8.pdf,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27903in-wrgd?skuId=27903IN-WRGD-0
27791IN-WAF-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/27791IN-WAF.obj,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27791in-waf?skuId=27791IN-WAF-0
27791IN-WAF-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/27791IN-WAF.skp,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27791in-waf?skuId=27791IN-WAF-0
27791IN-WAF-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/27791IN-WAF.3ds,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27791in-waf?skuId=27791IN-WAF-0
27791IN-WAF-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Toilet-Wall_Hung-KOHLER-Modern_Life-K-27791IN.rfa,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27791in-waf?skuId=27791IN-WAF-0
27791IN-WAF-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/27791in_wafpln.dxf,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27791in-waf?skuId=27791IN-WAF-0
27791IN-WAF-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/27791in_wafpln.dwg,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27791in-waf?skuId=27791IN-WAF-0
27791IN-WAF-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/27791in_waffrt.dxf,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27791in-waf?skuId=27791IN-WAF-0
