parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
26998IN-0,26998IN-0,White,0,White,,,https://www.kohler.co.in/p/vive-wall-hung-toilet-bundle-in-white-1?skuId=26998IN-0
26998IN-0,26998IN-DGS,Black,DGS,Black,,,https://www.kohler.co.in/p/vive-wall-hung-toilet-bundle-in-white-1?skuId=26998IN-0
26998IN-0,26998IN-7,Indigo,7,Indigo,,,https://www.kohler.co.in/p/vive-wall-hung-toilet-bundle-in-white-1?skuId=26998IN-0
32410IN-0,32410IN-0,,0,,,,https://www.kohler.co.in/p/apt-square-complete-wall-hung-toilet-bundle-in-white-1?skuId=32410IN-0
29150IN-0,29150IN-0,,0,,,,https://www.kohler.co.in/p/apt-round-complete-wall-hung-toilet-bundle-in-white-1?skuId=29150IN-0
29171IN-S-0,29171IN-S-0,,0,,,,https://www.kohler.co.in/p/span-round-complete-wall-hung-toilet-bundle-in-white-1?skuId=29171IN-S-0
29174IN-S-0,29174IN-S-0,,0,,,,https://www.kohler.co.in/p/Span-square-wall-hung-toilet-bundle-in-White-1?skuId=29174IN-S-0
20217IN-S-0,20217IN-S-0,,0,,,,https://www.kohler.co.in/p/trace-wall-hung-toilet-bundle-in-white-1?skuId=20217IN-S-0
20217IN-S-0,20217IN-S-7,,7,,,,https://www.kohler.co.in/p/trace-wall-hung-toilet-bundle-in-white-1?skuId=20217IN-S-0
30438IN-0,30438IN-0,,0,,,,https://www.kohler.co.in/p/reach-eco-wall-hung-toilet-bundle-in-white-1?skuId=30438IN-0
26994IN-0,26994IN-0,,0,,,,https://www.kohler.co.in/p/brazn-round-wall-hung-toilet-bundle-in-white-1?skuId=26994IN-0
75708IN-SS-0,75708IN-SS-0,,0,,,,https://www.kohler.co.in/p/veil-wall-hung-toilet-bundle-in-white-1?skuId=75708IN-SS-0
75708IN-DGS,75708IN-DGS,,DGS,,,,https://www.kohler.co.in/p/veil-wh-toilet-in-indigo-1?skuId=75708IN-DGS
72987IN-SR-0,72987IN-SR-0,,0,,,,https://www.kohler.co.in/p/reach-wall-hung-toilet-in-white-1?skuId=72987IN-SR-0
18132IN-2SP-0,18132IN-2SP-0,,0,,,,https://www.kohler.co.in/p/freelance-round-wall-hung-toilet-bundle-in-white-1?skuId=18132IN-2SP-0
27902IN-SS-0,27902IN-SS-0,,0,,,,https://www.kohler.co.in/p/modern-life-wall-hung-toilet-bundle-in-white-1?skuId=27902IN-SS-0
18133IN-SS-0,18133IN-SS-0,,0,,,,https://www.kohler.co.in/p/presquile-wall-hung-elongated-toilet-bundle-in-white-1?skuId=18133IN-SS-0
18133IN-2SS-0,18133IN-2SS-0,,0,,,,https://www.kohler.co.in/p/presquile-wall-hung-toilet-bundle-in-white-1?skuId=18133IN-2SS-0
6321IN-SS-0,6321IN-SS-0,,0,,,,https://www.kohler.co.in/p/presquile-wall-hung-with-pureclean-toilet-bundle-in-white-1?skuId=6321IN-SS-0
18132IN-2SR-0,18132IN-2SR-0,,0,,,,https://www.kohler.co.in/p/freelance-wall-hung-toilet-bundle-in-white-1?skuId=18132IN-2SR-0
27903IN-WRGD-0,27903IN-WRGD-0,White,0,White,,,https://www.kohler.co.in/p/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27903in-wrgd?skuId=27903IN-WRGD-0
26994IN-HB1,26994IN-HB1,,,,,,https://www.kohler.co.in/p/brazn-round-wall-hung-toilet-bundle-in-honed-black-finish-1?skuId=26994IN-HB1
18131IN-S-7,18131IN-S-7,,7,,,,https://www.kohler.co.in/p/patio-round-front-wall-hung-toilet-bundle-in-black-1?skuId=18131IN-S-7
6098IN-SR-0,6098IN-SR-0,,0,,,,https://www.kohler.co.in/p/replay-square-wall-hung-toilet-with-antimicrobial-agent-seat-in-white-1?skuId=6098IN-SR-0
33677IN-0,33677IN-0,,0,,,,https://www.kohler.co.in/p/kohler-ridge-square-wall-hung-with-rev-360-flushing-solution-toilet-bundle-with-quite-close-seat-in-white-1?skuId=33677IN-0
38785IN-0,38785IN-0,,0,,,,https://www.kohler.co.in/p/trace-round-wall-hung-toilet-bundle-in-white-1?skuId=38785IN-0
27792IN-0,27792IN-0,,0,,,,https://www.kohler.co.in/p/modern-life-edge-wall-hung-bowl-with-purewash-electronic-e-880-seat-bundle-1?skuId=27792IN-0
