product_code,asset_type,file_format,asset_url,product_url
31461IN-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/31461IN.obj,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/31461IN.skp,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/31461IN.3ds,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Sink-Wall_Mount-Lavatory-KOHLER-Span-K-31461IN.rfa,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31461inpln.dxf,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31461inpln.dwg,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31461infrt.dxf,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31461infrt.dwg,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31461insde.dxf,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31461insde.dwg,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31461IN.dxf,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31461IN.dwg,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-31461IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
31461IN-0,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/1653958-IN2.pdf,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
5583IN-1WH-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/5583IN-1WH.obj,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/5583IN-1WH.skp,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/5583IN-1WH.3ds,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Sink-Wall_Mount-Lavatory-KOHLER-Brive-K-5583IN.rfa,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/5583in_1whpln.dxf,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/5583in_1whpln.dwg,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/5583in_1whfrt.dxf,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/5583in_1whfrt.dwg,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/5583in_1whsde.dxf,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/5583in_1whsde.dwg,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/5583IN-1WH.dxf,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/5583IN-1WH.dwg,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-5583IN-1WH_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
5583IN-1WH-0,Parts,PDF,https://techcomm.kohler.com/techcomm/pdf/1656586-IN8.pdf,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
31458IN-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/31458IN.obj,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/31458IN.skp,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/31458IN.3ds,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Sink-Wall_Mount-Lavatory-KOHLER-Span-K-31458IN.rfa,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31458inpln.dxf,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31458inpln.dwg,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31458infrt.dxf,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31458infrt.dwg,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31458insde.dxf,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31458insde.dwg,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31458IN.dxf,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31458IN.dwg,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-31458IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,Installation,PDF,https://techcomm.kohler.com/techcomm/pdf/1389018-IN2_D2.pdf,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31458IN-0,Parts,PDF,https://techcomm.kohler.com/techcomm/pdf/1656586-IN8.pdf,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31460IN-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/31460IN.obj,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/31460IN.skp,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/31460IN.3ds,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Sink-Wall_Mount-Lavatory-KOHLER-Span-K-31460IN.rfa,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31460inpln.dxf,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31460inpln.dwg,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31460infrt.dxf,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31460infrt.dwg,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31460insde.dxf,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31460insde.dwg,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,CAD Drawing,DXF,https://techcomm.kohler.com/techcomm/cad/31460IN.dxf,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,CAD Drawing,DWG,https://techcomm.kohler.com/techcomm/cad/31460IN.dwg,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,Spec Sheet,PDF,https://techcomm.kohler.com/techcomm/pdf/K-31460IN_spec_IN_Kohler_en.pdf,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
31460IN-0,Parts,PDF,https://techcomm.kohler.com/techcomm/pdf/1656586-IN8.pdf,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
30520IN-0,3D Model,OBJ,https://techcomm.kohler.com/techcomm/cad/30520IN.obj,https://www.kohler.co.in/p/trace-550-mm-rectangular-wall-mount-bathroom-sink-30520in?skuId=30520IN-0
30520IN-0,3D Model,SKP,https://techcomm.kohler.com/techcomm/cad/30520IN.skp,https://www.kohler.co.in/p/trace-550-mm-rectangular-wall-mount-bathroom-sink-30520in?skuId=30520IN-0
30520IN-0,3D Model,3DS,https://techcomm.kohler.com/techcomm/cad/30520IN.3ds,https://www.kohler.co.in/p/trace-550-mm-rectangular-wall-mount-bathroom-sink-30520in?skuId=30520IN-0
30520IN-0,3D Model,RFA,https://techcomm.kohler.com/techcomm/cad/Sink-Wall_Mount-Lavatory-KOHLER-Trace-K-30520IN.rfa,https://www.kohler.co.in/p/trace-550-mm-rectangular-wall-mount-bathroom-sink-30520in?skuId=30520IN-0
