product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
31461IN-0,Span™ 57 cm wall-mount corner bathroom sink,Span™,31461IN,Basin Area,Wall Mount Basin,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0,5099.0,,,INR,57 cm wall-mount corner bathroom sink,White,0,Vitreous china,Corner; Wall-mount,,"1 LAV; 1 INSTALLATION
TEMPLATE AND 1 WARRANTY CARD
1 MOUNTING KIT; None",Sleek and contemporary design; Basin with square back and curved front; Round basin; Single faucet hole at deck center; Center drain and overflow; Glazed finish is easy to clean,,,,https://techcomm.kohler.com/techcomm/pdf/K-31461IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/washbasins/shop-wall-mount-basin,False,
5583IN-1WH-0,Brive Plus 45 cm oval wall-mount bathroom sink with glazed underside,Brive Plus,5583IN-1WH,Basin Area,Wall Mount Basin,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0,3569.0,,,INR,45 cm oval wall-mount bathroom sink with glazed underside,White,0,Vitreous china,Wall-mount,,1 LAV; 1 INSTRUCTION;; None,Minimalist design showcases symmetry and rounded edges; Oval basin; An integrated faucet deck provides additional water containment; Single faucet hole at deck center; With overflow; Glazed underside offers beauty from all angles,,,,https://techcomm.kohler.com/techcomm/pdf/K-5583IN-1WH_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/washbasins/shop-wall-mount-basin,False,
31458IN-0,Span™ 48.2 cm oval wall-mount bathroom sink with glazed underside,Span™,31458IN,Basin Area,Wall Mount Basin,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0,5099.0,,,INR,48.2 cm oval wall-mount bathroom sink with glazed underside,White,0,Vitreous china,Wall-mount,,1 LAVATORY;1 INSTALLATION GUIDE;1HARDWARE KIT;1 WARRANTY CARD; None,"Minimalist design with gently sloped edges; Rounded front and squared rear create unique geometric silhouette; Deep oval basin minimizes splash; Integrated rear faucet deck provides countertop space for placing small items; Single faucet hole at deck center; With overflow; Glazed underside offers beauty from all angles; Pair with pedestal and shroud to conceal pipes and create a sleek semi-pedestal look (sold separately); Pedestal and shroud are decorative only, not supporting the full weight of the sink; For use with choice of KOHLER® single-handle bathroom sink faucet (sold separately); Clicker drain sold separately",inRiver_558305; inRiver_1730109,,,https://techcomm.kohler.com/techcomm/pdf/K-31458IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/washbasins/shop-wall-mount-basin,False,
31460IN-0,Span™ 48.4 cm rectangular wall-mount bathroom sink with glazed underside,Span™,31460IN,Basin Area,Wall Mount Basin,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0,5099.0,,,INR,48.4 cm rectangular wall-mount bathroom sink with glazed underside,White,0,Vitreous china,Wall-mount,,1 LAVATORY; 1 INSTALLATION KIT; 1 INSTALLATION TEMPLATE AND 1 WARRANTY CARD; None,"Minimalist design with thin, rounded edges; Rectangular basin; An integrated faucet deck provides additional water containment; Single faucet hole at deck center; With overflow; Glazed underside offers beauty from all angles",inRiver_558305; inRiver_1730109,,,https://techcomm.kohler.com/techcomm/pdf/K-31460IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/washbasins/shop-wall-mount-basin,False,
30520IN-0,Trace™ 55 cm rectangular wall-mount bathroom sink,Trace,30520IN,Basin Area,Wall Mount Basin,https://www.kohler.co.in/p/trace-550-mm-rectangular-wall-mount-bathroom-sink-30520in?skuId=30520IN-0,8609.0,,,INR,55 cm rectangular wall-mount bathroom sink,White,0,,,,"1 LAVATORY;1 INSTALLATION TEMPLATE 1 WARRANTY CARD,1 MOUNTING KIT ASSEMBLY; None",,,,,,True,https://www.kohler.co.in/p/washbasins/shop-wall-mount-basin,False,
C63,Basin Vitality mirror combo with Modern life  basin in thunder grey,,,Basin Area,Wall Mount Basin,https://www.kohler.co.in/p/basin-vitality-mirror-combo-with-modern-life-basin-in-thunder-grey-1?skuId=C63,58958.0,,,INR,,,,,,,None,,inRiver_1482653; inRiver_1730109,,,,False,https://www.kohler.co.in/p/washbasins/shop-wall-mount-basin,False,
34229IN-0,"APT™ 55 cm rectangular wall-mount bathroom sink, no overflow",APT™,34229IN,Basin Area,Wall Mount Basin,https://www.kohler.co.in/p/apt-550-mm-rectangular-wall-mount-bathroom-sink-no-overflow-34229in?skuId=34229IN-0,6369.0,,,INR,"55 cm rectangular wall-mount bathroom sink, no overflow",White,0,Vitreous china,Installation hardware included; Wall-mount,,1 Lavatory ; 1 Installation Instruction ; 1 Installation Kit ; 1 Warranty card; None,Contemporary design makes a modern statement; Rectangular basin with rounded corners; Integrated rear faucet deck provides countertop space for placing small items; Single faucet hole at deck center; Without overflow; Coordinates with other products in the APT™ collection,,,,https://techcomm.kohler.com/techcomm/pdf/K-34229IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/washbasins/shop-wall-mount-basin,False,
C5,Comfort Basin combo,,,Basin Area,Wall Mount Basin,https://www.kohler.co.in/p/comfort-basin-combo-1?skuId=C5,9007.0,,,INR,,,,,,,None,,inRiver_558305; inRiver_1730109,,,,False,https://www.kohler.co.in/p/washbasins/shop-wall-mount-basin,False,
25317IN-0,Span™ 54.4 cm rectangular wall-mount bathroom sink with glazed underside,Span™,25317IN,Basin Area,Wall Mount Basin,https://www.kohler.co.in/p/span-544-mm-rectangular-wall-mount-bathroom-sink-with-glazed-underside-25317in?skuId=25317IN-0,5949.0,,,INR,54.4 cm rectangular wall-mount bathroom sink with glazed underside,White,0,Vitreous china,Wall-mount,,"1 LAVATORY, 1 INSTALLATION KIT, 1 INSTALLATION TEMPLATE, 1 WARRANTY CARD; None","Minimalist design with thin, rounded edges; Rectangular basin; An integrated faucet deck provides additional water containment; Single faucet hole at deck center; With overflow; Glazed underside offers beauty from all angles",inRiver_558305; inRiver_1730109,,,https://techcomm.kohler.com/techcomm/pdf/K-25317IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/washbasins/shop-wall-mount-basin,False,
C64,Basin Vitality mirror combo with Modern life  basin in white,,,Basin Area,Wall Mount Basin,https://www.kohler.co.in/p/basin-vitality-mirror-combo-with-modern-life-basin-in-white-1?skuId=C64,50158.0,,,INR,,,,,,,None,,inRiver_1482653; inRiver_1730109,,,,False,https://www.kohler.co.in/p/washbasins/shop-wall-mount-basin,False,
